stateid,fips,state,year,lnnetuit,lnstapr,lnfte,lnpc_income
4,5,AR,1998,19.060427,20.049921,11.276443,9.9660397
4,5,AR,1999,19.119312,20.122553,11.297291,9.9951544
4,5,AR,2000,18.747858,20.223427,11.365156,10.035568
4,5,AR,2001,18.902605,20.200665,11.377529,10.082345
4,5,AR,2002,19.152458,20.220018,11.437361,10.100122
4,5,AR,2003,19.198278,20.226271,11.43505,10.149879
4,5,AR,2004,19.330639,20.296711,11.475141,10.20248
4,5,AR,2005,19.440554,20.289413,11.505206,10.243382
4,5,AR,2006,19.534037,20.428345,11.526276,10.289498
4,5,AR,2007,19.617523,20.484434,11.546061,10.34374
4,5,AR,2008,19.691378,20.585728,11.564065,10.371458
4,5,AR,2009,19.828335,20.593355,11.594266,10.346634
4,5,AR,2010,19.880676,20.666304,11.685904,10.369201
4,5,AR,2011,19.839762,20.726906,11.728722,10.427654
4,5,AR,2012,19.946375,20.726139,11.731466,10.493715
4,5,AR,2013,19.987072,20.719994,11.729302,10.490191
4,5,AR,2014,20.10154,20.70694,11.706558,10.543972
4,5,AR,2015,20.14739,20.699713,11.681891,10.572086
4,5,AR,2016,20.219252,20.691875,11.670869,10.589535
5,6,CA,1990,20.293867,22.401932,13.947667,9.9751101
5,6,CA,1991,20.388212,22.47983,13.917807,9.9922762
5,6,CA,1992,20.62499,22.414358,13.925489,10.029151
5,6,CA,1993,20.852274,22.281578,13.91512,10.043815
5,6,CA,1994,20.976589,22.181927,13.882826,10.068196
5,6,CA,1995,21.025591,22.297884,13.886014,10.11168
5,6,CA,1996,20.990311,22.399353,13.914103,10.162461
5,6,CA,1997,20.999836,22.504082,13.949909,10.209906
5,6,CA,1998,21.030825,22.693436,13.961664,10.28141
5,6,CA,1999,21.07206,22.714041,13.993551,10.331985
5,6,CA,2000,20.803888,22.789169,14.175625,10.416401
5,6,CA,2001,20.801012,22.902952,14.060279,10.436554
5,6,CA,2002,20.803495,22.959034,14.085083,10.440946
5,6,CA,2003,20.927204,22.945663,14.161881,10.475935
5,6,CA,2004,21.261581,22.858946,14.15289,10.528463
5,6,CA,2005,21.445177,22.907846,14.175624,10.579641
5,6,CA,2006,21.69791,23.008842,14.132764,10.648729
5,6,CA,2007,21.751505,23.096428,14.17667,10.684394
5,6,CA,2008,21.406446,23.152405,14.225942,10.689556
5,6,CA,2009,21.635376,23.112766,14.300866,10.646615
5,6,CA,2010,21.76329,23.007845,14.293014,10.683202
5,6,CA,2011,21.576241,23.087845,14.277166,10.740367
5,6,CA,2012,21.969196,22.900694,14.248045,10.796019
5,6,CA,2013,21.974888,22.932146,14.222272,10.804848
5,6,CA,2014,22.032434,23.073521,14.242292,10.865516
5,6,CA,2015,22.030416,23.207476,14.247177,10.929403
5,6,CA,2016,22.036854,23.279797,14.240864,10.961712
6,8,CO,1990,19.38538,19.961411,11.757604,9.8961105
6,8,CO,1991,19.509579,19.981558,11.785925,9.9305677
6,8,CO,1992,19.623053,19.959267,11.807549,9.9816055
6,8,CO,1993,19.73521,20.015818,11.825654,10.02743
6,8,CO,1994,19.766674,20.028517,11.820021,10.070061
6,8,CO,1995,19.822849,20.044022,11.815095,10.126431
6,8,CO,1996,19.885094,20.123974,11.815509,10.178692
6,8,CO,1997,19.913361,20.187122,11.821042,10.228285
6,8,CO,1998,19.952589,20.241352,11.832702,10.299306
6,8,CO,1999,19.999866,20.284451,11.847467,10.350863
6,8,CO,2000,20.019648,20.331249,11.861658,10.43491
6,8,CO,2001,20.073174,20.37525,11.859999,10.459927
6,8,CO,2002,20.170422,20.396082,11.903101,10.447728
6,8,CO,2003,20.243921,20.200497,11.959264,10.456999
6,8,CO,2004,20.435463,20.160784,11.990283,10.483522
6,8,CO,2005,20.431141,20.19442,11.999731,10.538264
6,8,CO,2006,20.514814,20.269852,11.97588,10.59656
6,8,CO,2007,20.485563,20.335966,11.966432,10.642778
6,8,CO,2008,20.629631,20.419298,12.011504,10.657071
6,8,CO,2009,20.744917,20.529547,12.052711,10.592903
6,8,CO,2010,20.91177,20.524807,12.140099,10.610217
6,8,CO,2011,21.040455,20.440931,12.183934,10.679504
6,8,CO,2012,21.08074,20.27483,12.168064,10.727049
6,8,CO,2013,21.136505,20.263916,12.146349,10.762912
6,8,CO,2014,21.235777,20.323511,12.127224,10.832932
6,8,CO,2015,21.22278,20.462414,12.111031,10.861227
6,8,CO,2016,21.282936,20.56756,12.102178,10.864159
7,9,CT,1990,18.592953,20.024302,11.056809,10.180892
7,9,CT,1991,18.717075,20.04678,11.056146,10.188215
7,9,CT,1992,18.877472,20.004391,11.048554,10.259763
7,9,CT,1993,19.027725,19.854813,11.045446,10.289328
7,9,CT,1994,19.0599,19.994078,11.017219,10.3152
7,9,CT,1995,19.065687,20.002131,10.99055,10.366592
7,9,CT,1996,19.140471,20.058512,10.960722,10.410034
7,9,CT,1997,19.181953,20.086121,10.944806,10.469597
7,9,CT,1998,19.192177,20.153399,10.92822,10.537362
7,9,CT,1999,19.238256,20.220739,10.944841,10.58714
7,9,CT,2000,19.28618,20.330936,10.983341,10.671069
7,9,CT,2001,19.413313,20.344303,11.018235,10.719892
7,9,CT,2002,19.48794,20.411757,11.069493,10.711837
7,9,CT,2003,19.628139,20.417416,11.128175,10.71883
7,9,CT,2004,19.789942,20.409742,11.156679,10.770651
7,9,CT,2005,19.897409,20.462824,11.188275,10.821976
7,9,CT,2006,19.9821,20.517313,11.206509,10.900123
7,9,CT,2007,20.026482,20.623384,11.22459,10.9703
7,9,CT,2008,20.105433,20.730238,11.252703,11.02205
7,9,CT,2009,20.182438,20.741713,11.295179,11.002
7,9,CT,2010,20.243711,20.792089,11.350795,11.038158
7,9,CT,2011,20.148819,20.771324,11.365365,11.064119
7,9,CT,2012,20.366423,20.651054,11.35841,11.082419
7,9,CT,2013,20.411167,20.583706,11.382931,11.063054
7,9,CT,2014,20.552246,20.733643,11.392801,11.10832
7,9,CT,2015,20.609705,20.824858,11.378284,11.135683
7,9,CT,2016,20.720362,20.912521,11.358666,11.152271
8,10,DE,1990,18.35133,18.549953,10.112816,9.9738064
8,10,DE,1991,18.457977,18.565647,10.166351,10.009962
8,10,DE,1992,18.6005,18.594633,10.15995,10.03513
8,10,DE,1993,18.712605,18.60799,10.190507,10.056724
8,10,DE,1994,18.756439,18.603003,10.185466,10.082554
8,10,DE,1995,18.861513,18.635792,10.186483,10.122704
8,10,DE,1996,18.943039,18.731834,10.197239,10.174544
8,10,DE,1997,18.987131,18.880003,10.211891,10.206144
8,10,DE,1998,19.045549,18.805264,10.218335,10.291128
8,10,DE,1999,19.054077,18.937687,10.297352,10.346538
8,10,DE,2000,19.143871,18.976862,10.273671,10.430049
8,10,DE,2001,19.190493,19.034243,10.273118,10.515262
8,10,DE,2002,19.186613,19.038027,10.195224,10.535317
8,10,DE,2003,19.301846,19.013836,10.342646,10.54363
