State,FY,COLI,EMI,HECA,StateSupport,FinancialAid,NetTuition,NetFTEStudents
Montana,1989,0.976729,1.059349,0.381223,105300000,,21200000,26585
Nebraska,1989,0.947714,1.001357,0.381223,253600000,,72100000,62403
Nevada,1989,1.056863,1.038213,0.381223,121900000,,28500000,25734
New Hampshire,1989,1.137034,1.039625,0.381223,72400000,,84400000,24590
New Jersey,1989,1.144609,0.989993,0.381223,1055000000,,250200000,161135
New Mexico,1989,0.941450,0.988873,0.381223,282100000,,56600000,59249
New York,1989,1.056591,0.989115,0.381223,2587300000,,495700000,419894
North Carolina,1989,0.895671,0.984330,0.381223,1269100000,,170500000,205167
North Dakota,1989,1.013961,1.020071,0.381223,117600000,,44900000,31072
Ohio,1989,0.870701,1.009494,0.381223,1263100000,,672200000,310651
Oklahoma,1989,0.877189,1.011231,0.381223,490600000,,115200000,103550
Oregon,1989,1.119892,1.008344,0.381223,358000000,,132000000,98481
Pennsylvania,1989,0.962161,1.027127,0.381223,1098400000,,738500000,270447
Rhode Island,1989,1.208925,0.965323,0.381223,122500000,,57900000,25468
South Carolina,1989,0.929071,1.015291,0.381223,549000000,,170000000,108158
South Dakota,1989,0.935642,0.969914,0.381223,72200000,,33200000,18227
Tennessee,1989,0.868157,0.996218,0.381223,672200000,,175300000,129524
Texas,1989,0.908329,0.999183,0.381223,2180100000,,560900000,584360
Utah,1989,0.972805,1.019268,0.381223,264000000,,69100000,57116
Vermont,1989,1.139689,0.973758,0.381223,52700000,,68300000,14678
Virginia,1989,0.962968,1.023269,0.381223,986200000,,347000000,198869
Washington,1989,1.080378,0.990187,0.381223,713500000,,160900000,149625
West Virginia,1989,0.898378,1.024591,0.381223,225600000,,65100000,55594
Wisconsin,1989,0.943718,1.001632,0.381223,732900000,,333300000,188166
Wyoming,1989,0.990707,0.956238,0.381223,126200000,,16400000,20472
U.S.,1989,1.000000,1.000000,0.381223,34856500000,,10097800000,7473599
Alabama,1988,0.874817,1.020407,0.363890,664300000,,203900000,143246
Alaska,1988,1.240049,0.972260,0.363890,146500000,,20400000,14349
Arizona,1988,0.962463,1.016214,0.363890,470700000,,173400000,129939
Arkansas,1988,0.852109,1.004731,0.363890,280700000,,71700000,56056
California,1988,1.271378,0.974561,0.363890,4957300000,,561500000,1041280
Colorado,1988,1.044599,1.024068,0.363890,410400000,,220300000,116979
Connecticut,1988,1.194171,1.001642,0.363890,407800000,,88800000,59160
Delaware,1988,1.033892,1.040890,0.363890,100200000,,72100000,21842
Florida,1988,0.952375,1.019976,0.363890,1318200000,,227500000,303344
Georgia,1988,0.877999,1.009819,0.363890,843100000,,200000000,175581
Hawaii,1988,1.412833,1.019532,0.363890,233000000,,20000000,27774
Idaho,1988,0.936217,0.976970,0.363890,144700000,,20100000,26406
Illinois,1988,0.940432,0.987444,0.363890,1224500000,,329300000,348745
Indiana,1988,0.898821,1.007056,0.363890,689000000,,296600000,155593
Iowa,1988,0.919148,1.017111,0.363890,416400000,,167300000,93876
Kansas,1988,0.922519,1.001955,0.363890,357500000,,114800000,94748
Kentucky,1988,0.867281,1.004377,0.363890,488400000,,123000000,95408
Louisiana,1988,0.914179,1.000753,0.363890,494500000,,184300000,119878
Maine,1988,1.099617,1.026167,0.363890,136800000,,39900000,26300
Maryland,1988,1.191517,0.990881,0.363890,593400000,,234900000,149700
Massachusetts,1988,1.250533,0.987311,0.363890,724400000,,178200000,125620
Michigan,1988,0.859225,1.008582,0.363890,1252600000,,684900000,318057
Minnesota,1988,0.964954,0.989603,0.363890,779100000,,207200000,164368
Mississippi,1988,0.831364,1.008723,0.363890,320600000,,119100000,83406
Missouri,1988,0.850668,0.985412,0.363890,495300000,,187200000,128890
Montana,1988,0.976729,1.059349,0.363890,105100000,,20800000,25918
Nebraska,1988,0.947714,1.001357,0.363890,227500000,,65800000,61658
Nevada,1988,1.056863,1.038213,0.363890,112600000,,24500000,23875
New Hampshire,1988,1.137034,1.039625,0.363890,66600000,,73600000,23874
New Jersey,1988,1.144609,0.989993,0.363890,964900000,,220900000,156634
New Mexico,1988,0.941450,0.988873,0.363890,269900000,,47500000,56334
New York,1988,1.056591,0.989115,0.363890,2474300000,,479700000,407495
North Carolina,1988,0.895671,0.984330,0.363890,1204700000,,158900000,198805
North Dakota,1988,1.013961,1.020071,0.363890,122300000,,41800000,30159
Ohio,1988,0.870701,1.009494,0.363890,1206900000,,573300000,302175
Oklahoma,1988,0.877189,1.011231,0.363890,466800000,,91700000,102960
Oregon,1988,1.119892,1.008344,0.363890,345800000,,122300000,94549
Pennsylvania,1988,0.962161,1.027127,0.363890,1024300000,,631500000,262082
Rhode Island,1988,1.208925,0.965323,0.363890,113400000,,51600000,23999
South Carolina,1988,0.929071,1.015291,0.363890,505100000,,167800000,102793
South Dakota,1988,0.935642,0.969914,0.363890,67800000,,32100000,17761
Tennessee,1988,0.868157,0.996218,0.363890,623200000,,158600000,121957
Texas,1988,0.908329,0.999183,0.363890,2170900000,,500300000,545680
Utah,1988,0.972805,1.019268,0.363890,257200000,,63000000,56153
Vermont,1988,1.139689,0.973758,0.363890,48500000,,62400000,14441
Virginia,1988,0.962968,1.023269,0.363890,879000000,,299400000,191908
Washington,1988,1.080378,0.990187,0.363890,668000000,,155900000,150412
West Virginia,1988,0.898378,1.024591,0.363890,214800000,,60700000,53271
Wisconsin,1988,0.943718,1.001632,0.363890,699600000,,317200000,187399
Wyoming,1988,0.990707,0.956238,0.363890,117200000,,14500000,18669
U.S.,1988,1.000000,1.000000,0.363890,32905800000,,9182200000,7251506
Alabama,1987,0.874817,1.020407,0.348635,608000000,,178700000,142140
Alaska,1987,1.240049,0.972260,0.348635,144100000,,18700000,14894
Arizona,1987,0.962463,1.016214,0.348635,431100000,,157500000,124340
Arkansas,1987,0.852109,1.004731,0.348635,263600000,,59700000,55566
California,1987,1.271378,0.974561,0.348635,4785100000,,525400000,1017608
Colorado,1987,1.044599,1.024068,0.348635,394100000,,208400000,113381
Connecticut,1987,1.194171,1.001642,0.348635,359200000,,76700000,57914
Delaware,1987,1.033892,1.040890,0.348635,96200000,,62500000,21372
Florida,1987,0.952375,1.019976,0.348635,1192400000,,211700000,291810
Georgia,1987,0.877999,1.009819,0.348635,793700000,,172600000,171313
Hawaii,1987,1.412833,1.019532,0.348635,201000000,,20000000,27862
Idaho,1987,0.936217,0.976970,0.348635,131500000,,19100000,25252
Illinois,1987,0.940432,0.987444,0.348635,1285700000,,284000000,351214
Indiana,1987,0.898821,1.007056,0.348635,646800000,,271700000,151753
Iowa,1987,0.919148,1.017111,0.348635,383200000,,149500000,94122
Kansas,1987,0.922519,1.001955,0.348635,320700000,,102600000,92617
Kentucky,1987,0.867281,1.004377,0.348635,452800000,,110000000,90483
Louisiana,1987,0.914179,1.000753,0.348635,489600000,,162900000,118300
Maine,1987,1.099617,1.026167,0.348635,121400000,,38700000,25900
Maryland,1987,1.191517,0.990881,0.348635,551000000,,208700000,145579
Massachusetts,1987,1.250533,0.987311,0.348635,655400000,,178200000,124550
Michigan,1987,0.859225,1.008582,0.348635,1221500000,,619900000,310220
Minnesota,1987,0.964954,0.989603,0.348635,754900000,,188000000,161556
Mississippi,1987,0.831364,1.008723,0.348635,305400000,,111300000,84715
Missouri,1987,0.850668,0.985412,0.348635,456700000,,168300000,127802
Montana,1987,0.976729,1.059349,0.348635,101100000,,22400000,26965
Nebraska,1987,0.947714,1.001357,0.348635,215000000,,64000000,61297
Nevada,1987,1.056863,1.038213,0.348635,102400000,,23200000,22155
New Hampshire,1987,1.137034,1.039625,0.348635,55900000,,67800000,21385
New Jersey,1987,1.144609,0.989993,0.348635,870600000,,205300000,156944
New Mexico,1987,0.941450,0.988873,0.348635,256300000,,41800000,55030
New York,1987,1.056591,0.989115,0.348635,2328800000,,452400000,413336
North Carolina,1987,0.895671,0.984330,0.348635,1122500000,,146900000,197847
North Dakota,1987,1.013961,1.020071,0.348635,124800000,,37500000,30380
Ohio,1987,0.870701,1.009494,0.348635,1159300000,,536200000,298678
Oklahoma,1987,0.877189,1.011231,0.348635,462300000,,73700000,102072
Oregon,1987,1.119892,1.008344,0.348635,323600000,,113700000,93073
Pennsylvania,1987,0.962161,1.027127,0.348635,972300000,,596400000,253788
Rhode Island,1987,1.208925,0.965323,0.348635,105800000,,45700000,22999
South Carolina,1987,0.929071,1.015291,0.348635,488700000,,151100000,99877
South Dakota,1987,0.935642,0.969914,0.348635,68100000,,29700000,17751
Tennessee,1987,0.868157,0.996218,0.348635,601300000,,147400000,118487
Texas,1987,0.908329,0.999183,0.348635,1914700000,,462000000,526592
Utah,1987,0.972805,1.019268,0.348635,244400000,,59900000,55647
Vermont,1987,1.139689,0.973758,0.348635,45400000,,56000000,14100
Virginia,1987,0.962968,1.023269,0.348635,866400000,,285200000,184121
Washington,1987,1.080378,0.990187,0.348635,624200000,,144900000,150132
West Virginia,1987,0.898378,1.024591,0.348635,207500000,,57300000,52906
Wisconsin,1987,0.943718,1.001632,0.348635,661000000,,294000000,190722
Wyoming,1987,0.990707,0.956238,0.348635,116500000,,13500000,16994
U.S.,1987,1.000000,1.000000,0.348635,31084000000,,8432800000,7125541
Alabama,1986,0.874817,1.020407,0.336992,691500000,,151200000,139554
Alaska,1986,1.240049,0.972260,0.336992,167800000,,17800000,13965
Arizona,1986,0.962463,1.016214,0.336992,410500000,,134700000,118610
Arkansas,1986,0.852109,1.004731,0.336992,263000000,,56400000,54590
California,1986,1.271378,0.974561,0.336992,4121700000,,504700000,979150
Colorado,1986,1.044599,1.024068,0.336992,371000000,,191500000,111441
Connecticut,1986,1.194171,1.001642,0.336992,318000000,,76100000,58563
Delaware,1986,1.033892,1.040890,0.336992,89600000,,57000000,20993
Florida,1986,0.952375,1.019976,0.336992,1060500000,,196700000,283432
Georgia,1986,0.877999,1.009819,0.336992,745400000,,155800000,167050
Hawaii,1986,1.412833,1.019532,0.336992,231000000,,18000000,28689
Idaho,1986,0.936217,0.976970,0.336992,124400000,,18600000,25452
Illinois,1986,0.940432,0.987444,0.336992,1213600000,,283300000,345494
Indiana,1986,0.898821,1.007056,0.336992,595100000,,255800000,151256
Iowa,1986,0.919148,1.017111,0.336992,364600000,,140100000,94599
Kansas,1986,0.922519,1.001955,0.336992,342500000,,93400000,90246
Kentucky,1986,0.867281,1.004377,0.336992,425100000,,106700000,87225
Louisiana,1986,0.914179,1.000753,0.336992,539700000,,132700000,123065
Maine,1986,1.099617,1.026167,0.336992,97700000,,40500000,25850
Maryland,1986,1.191517,0.990881,0.336992,514500000,,195500000,144691
Massachusetts,1986,1.250533,0.987311,0.336992,565400000,,175800000,123484
Michigan,1986,0.859225,1.008582,0.336992,1145100000,,573600000,303390
Minnesota,1986,0.964954,0.989603,0.336992,673400000,,184900000,156203
Mississippi,1986,0.831364,1.008723,0.336992,333200000,,93600000,93703
Missouri,1986,0.850668,0.985412,0.336992,454200000,,161700000,126222
Montana,1986,0.976729,1.059349,0.336992,106100000,,19200000,27840
Nebraska,1986,0.947714,1.001357,0.336992,210400000,,62100000,61399
Nevada,1986,1.056863,1.038213,0.336992,94400000,,23200000,21282
New Hampshire,1986,1.137034,1.039625,0.336992,50200000,,63300000,20674
New Jersey,1986,1.144609,0.989993,0.336992,799100000,,186400000,159488
New Mexico,1986,0.941450,0.988873,0.336992,251500000,,36200000,54242
New York,1986,1.056591,0.989115,0.336992,2090500000,,452700000,414252
North Carolina,1986,0.895671,0.984330,0.336992,1042000000,,126600000,195875
North Dakota,1986,1.013961,1.020071,0.336992,122500000,,34900000,31136
Ohio,1986,0.870701,1.009494,0.336992,1066700000,,508900000,307095
Oklahoma,1986,0.877189,1.011231,0.336992,510000000,,68900000,100875
Oregon,1986,1.119892,1.008344,0.336992,309300000,,111500000,91040
Pennsylvania,1986,0.962161,1.027127,0.336992,935600000,,572800000,250991
Rhode Island,1986,1.208925,0.965323,0.336992,105100000,,41700000,22591
South Carolina,1986,0.929071,1.015291,0.336992,461100000,,127800000,99092
South Dakota,1986,0.935642,0.969914,0.336992,65700000,,28200000,18102
Tennessee,1986,0.868157,0.996218,0.336992,536800000,,138600000,118780
Texas,1986,0.908329,0.999183,0.336992,2131200000,,402000000,524409
Utah,1986,0.972805,1.019268,0.336992,244400000,,54600000,54233
Vermont,1986,1.139689,0.973758,0.336992,42700000,,50100000,13942
Virginia,1986,0.962968,1.023269,0.336992,730500000,,246900000,179049
Washington,1986,1.080378,0.990187,0.336992,588900000,,144900000,148995
West Virginia,1986,0.898378,1.024591,0.336992,207700000,,56900000,51947
Wisconsin,1986,0.943718,1.001632,0.336992,649100000,,259600000,190992
Wyoming,1986,0.990707,0.956238,0.336992,106800000,,12200000,17676
U.S.,1986,1.000000,1.000000,0.336992,29316800000,,7846300000,7042914
Alabama,1985,0.874817,1.020407,0.324693,550300000,,145700000,138705
Alaska,1985,1.240049,0.972260,0.324693,169800000,,16300000,15000
Arizona,1985,0.962463,1.016214,0.324693,353800000,,121900000,117861
Arkansas,1985,0.852109,1.004731,0.324693,246900000,,56800000,54746
California,1985,1.271378,0.974561,0.324693,3810500000,,475100000,973445
Colorado,1985,1.044599,1.024068,0.324693,359700000,,183700000,113747
Connecticut,1985,1.194171,1.001642,0.324693,293000000,,72800000,60800
Delaware,1985,1.033892,1.040890,0.324693,84000000,,51000000,21845
Florida,1985,0.952375,1.019976,0.324693,980600000,,184900000,281543
Georgia,1985,0.877999,1.009819,0.324693,694200000,,141000000,162785
Hawaii,1985,1.412833,1.019532,0.324693,213000000,,20000000,29649
Idaho,1985,0.936217,0.976970,0.324693,118100000,,18200000,26110
Illinois,1985,0.940432,0.987444,0.324693,1091500000,,282300000,354119
Indiana,1985,0.898821,1.007056,0.324693,538100000,,242900000,152522
Iowa,1985,0.919148,1.017111,0.324693,371000000,,133800000,94995
Kansas,1985,0.922519,1.001955,0.324693,329100000,,84000000,91022
Kentucky,1985,0.867281,1.004377,0.324693,403800000,,98000000,88359
Louisiana,1985,0.914179,1.000753,0.324693,567300000,,111700000,123664
Maine,1985,1.099617,1.026167,0.324693,88400000,,39100000,26250
Maryland,1985,1.191517,0.990881,0.324693,476500000,,187400000,144874
Massachusetts,1985,1.250533,0.987311,0.324693,503100000,,174500000,122612
Michigan,1985,0.859225,1.008582,0.324693,1008200000,,551900000,314096
Minnesota,1985,0.964954,0.989603,0.324693,620300000,,173800000,152723
Mississippi,1985,0.831364,1.008723,0.324693,316100000,,90300000,91153
Missouri,1985,0.850668,0.985412,0.324693,376000000,,146600000,128545
Montana,1985,0.976729,1.059349,0.324693,107300000,,17500000,28333
Nebraska,1985,0.947714,1.001357,0.324693,213200000,,54200000,60972
Nevada,1985,1.056863,1.038213,0.324693,78600000,,24600000,22403
New Hampshire,1985,1.137034,1.039625,0.324693,42600000,,60800000,21441
New Jersey,1985,1.144609,0.989993,0.324693,711600000,,183000000,162606
New Mexico,1985,0.941450,0.988873,0.324693,247700000,,35200000,53979
New York,1985,1.056591,0.989115,0.324693,1964400000,,446500000,421316
North Carolina,1985,0.895671,0.984330,0.324693,931400000,,118600000,189698
North Dakota,1985,1.013961,1.020071,0.324693,114900000,,31000000,31109
Ohio,1985,0.870701,1.009494,0.324693,939100000,,485000000,309100
Oklahoma,1985,0.877189,1.011231,0.324693,437000000,,70700000,100506
Oregon,1985,1.119892,1.008344,0.324693,282600000,,109800000,90175
Pennsylvania,1985,0.962161,1.027127,0.324693,865000000,,520100000,258935
Rhode Island,1985,1.208925,0.965323,0.324693,99200000,,38700000,22831
South Carolina,1985,0.929071,1.015291,0.324693,445100000,,114000000,96763
South Dakota,1985,0.935642,0.969914,0.324693,59100000,,26700000,19311
Tennessee,1985,0.868157,0.996218,0.324693,485400000,,127700000,121932
Texas,1985,0.908329,0.999183,0.324693,2299600000,,283000000,525249
Utah,1985,0.972805,1.019268,0.324693,235800000,,50600000,54551
Vermont,1985,1.139689,0.973758,0.324693,37000000,,50600000,14275
Virginia,1985,0.962968,1.023269,0.324693,679200000,,230300000,179638
Washington,1985,1.080378,0.990187,0.324693,558400000,,133600000,149298
West Virginia,1985,0.898378,1.024591,0.324693,192800000,,57000000,53784
Wisconsin,1985,0.943718,1.001632,0.324693,611500000,,237200000,190722
Wyoming,1985,0.990707,0.956238,0.324693,100100000,,13400000,21384
U.S.,1985,1.000000,1.000000,0.324693,27301900000,,7323500000,7081481
Alabama,1984,0.874817,1.020407,0.311200,449600000,,138900000,144962
Alaska,1984,1.240049,0.972260,0.311200,158100000,,15700000,15061
Arizona,1984,0.962463,1.016214,0.311200,328000000,,107700000,121672
Arkansas,1984,0.852109,1.004731,0.311200,194000000,,49300000,55831
California,1984,1.271378,0.974561,0.311200,2662300000,,418000000,993557
Colorado,1984,1.044599,1.024068,0.311200,342800000,,168400000,117535
Connecticut,1984,1.194171,1.001642,0.311200,263800000,,62300000,62048
Delaware,1984,1.033892,1.040890,0.311200,75600000,,48400000,21799
Florida,1984,0.952375,1.019976,0.311200,921000000,,172000000,288205
Georgia,1984,0.877999,1.009819,0.311200,625900000,,133000000,165715
Hawaii,1984,1.412833,1.019532,0.311200,203000000,,16000000,31453
Idaho,1984,0.936217,0.976970,0.311200,106800000,,16200000,27034
Illinois,1984,0.940432,0.987444,0.311200,1033500000,,261900000,363200
Indiana,1984,0.898821,1.007056,0.311200,499300000,,233500000,157304
Iowa,1984,0.919148,1.017111,0.311200,341300000,,117600000,97758
Kansas,1984,0.922519,1.001955,0.311200,300700000,,79800000,91689
Kentucky,1984,0.867281,1.004377,0.311200,393800000,,92400000,91516
Louisiana,1984,0.914179,1.000753,0.311200,501300000,,102300000,122965
Maine,1984,1.099617,1.026167,0.311200,74400000,,39100000,26500
Maryland,1984,1.191517,0.990881,0.311200,426300000,,165600000,144646
Massachusetts,1984,1.250533,0.987311,0.311200,419800000,,156000000,123000
Michigan,1984,0.859225,1.008582,0.311200,851500000,,544300000,327278
Minnesota,1984,0.964954,0.989603,0.311200,579500000,,154800000,157823
Mississippi,1984,0.831364,1.008723,0.311200,307800000,,83800000,91013
Missouri,1984,0.850668,0.985412,0.311200,340800000,,144600000,134278
Montana,1984,0.976729,1.059349,0.311200,103600000,,16800000,29288
Nebraska,1984,0.947714,1.001357,0.311200,206600000,,53800000,61143
Nevada,1984,1.056863,1.038213,0.311200,75400000,,23800000,22747
New Hampshire,1984,1.137034,1.039625,0.311200,41100000,,60200000,20902
New Jersey,1984,1.144609,0.989993,0.311200,637500000,,180000000,164310
New Mexico,1984,0.941450,0.988873,0.311200,216800000,,32300000,54628
New York,1984,1.056591,0.989115,0.311200,1751500000,,436200000,430135
North Carolina,1984,0.895671,0.984330,0.311200,710300000,,108600000,194188
North Dakota,1984,1.013961,1.020071,0.311200,108700000,,29700000,31585
Ohio,1984,0.870701,1.009494,0.311200,857300000,,462000000,320300
Oklahoma,1984,0.877189,1.011231,0.311200,430000000,,64000000,106054
Oregon,1984,1.119892,1.008344,0.311200,274400000,,106000000,93452
Pennsylvania,1984,0.962161,1.027127,0.311200,792400000,,475600000,256292
Rhode Island,1984,1.208925,0.965323,0.311200,92900000,,36800000,23831
South Carolina,1984,0.929071,1.015291,0.311200,380300000,,111000000,97611
South Dakota,1984,0.935642,0.969914,0.311200,55500000,,27600000,20289
Tennessee,1984,0.868157,0.996218,0.311200,380400000,,118000000,122405
Texas,1984,0.908329,0.999183,0.311200,2218900000,,275000000,527346
Utah,1984,0.972805,1.019268,0.311200,199000000,,48500000,55532
Vermont,1984,1.139689,0.973758,0.311200,35100000,,47200000,14288
Virginia,1984,0.962968,1.023269,0.311200,600500000,,205900000,182342
Washington,1984,1.080378,0.990187,0.311200,543800000,,131700000,150569
West Virginia,1984,0.898378,1.024591,0.311200,171000000,,54200000,56136
Wisconsin,1984,0.943718,1.001632,0.311200,589600000,,215000000,194783
Wyoming,1984,0.990707,0.956238,0.311200,99200000,,14900000,18760
U.S.,1984,1.000000,1.000000,0.311200,23972700000,,6856400000,7222758
Alabama,1983,0.874817,1.020407,0.294987,401600000,,122000000,145520
Alaska,1983,1.240049,0.972260,0.294987,148000000,,13200000,13941
Arizona,1983,0.962463,1.016214,0.294987,284100000,,93400000,125103
Arkansas,1983,0.852109,1.004731,0.294987,186500000,,46600000,55935
California,1983,1.271378,0.974561,0.294987,2973200000,,405300000,1053638
Colorado,1983,1.044599,1.024068,0.294987,322600000,,160500000,118319
Connecticut,1983,1.194171,1.001642,0.294987,243100000,,51300000,62000
Delaware,1983,1.033892,1.040890,0.294987,74700000,,42900000,21613
Florida,1983,0.952375,1.019976,0.294987,841000000,,171100000,287714
Georgia,1983,0.877999,1.009819,0.294987,598700000,,112900000,167684
Hawaii,1983,1.412833,1.019532,0.294987,200000000,,10000000,32457
Idaho,1983,0.936217,0.976970,0.294987,99900000,,16200000,27252
Illinois,1983,0.940432,0.987444,0.294987,931300000,,230800000,385343
Indiana,1983,0.898821,1.007056,0.294987,456100000,,214700000,157631
Iowa,1983,0.919148,1.017111,0.294987,350800000,,107800000,96266
Kansas,1983,0.922519,1.001955,0.294987,299300000,,70000000,91735
Kentucky,1983,0.867281,1.004377,0.294987,361200000,,83300000,93637
Louisiana,1983,0.914179,1.000753,0.294987,489400000,,88300000,119225
Maine,1983,1.099617,1.026167,0.294987,70800000,,35900000,26500
Maryland,1983,1.191517,0.990881,0.294987,423800000,,148600000,141311
Massachusetts,1983,1.250533,0.987311,0.294987,387000000,,146000000,124638
Michigan,1983,0.859225,1.008582,0.294987,811900000,,477900000,320195
Minnesota,1983,0.964954,0.989603,0.294987,532400000,,139500000,159976
Mississippi,1983,0.831364,1.008723,0.294987,275800000,,72500000,90839
Missouri,1983,0.850668,0.985412,0.294987,334200000,,131700000,134852
Montana,1983,0.976729,1.059349,0.294987,95300000,,15400000,29042
Nebraska,1983,0.947714,1.001357,0.294987,196100000,,50800000,61603
Nevada,1983,1.056863,1.038213,0.294987,71900000,,20100000,23227
New Hampshire,1983,1.137034,1.039625,0.294987,35200000,,55000000,20634
New Jersey,1983,1.144609,0.989993,0.294987,585800000,,152000000,168663
New Mexico,1983,0.941450,0.988873,0.294987,207100000,,31400000,54058
New York,1983,1.056591,0.989115,0.294987,1665100000,,394500000,435011
North Carolina,1983,0.895671,0.984330,0.294987,673800000,,103800000,185485
North Dakota,1983,1.013961,1.020071,0.294987,105600000,,26100000,29930
Ohio,1983,0.870701,1.009494,0.294987,736600000,,343000000,313600
Oklahoma,1983,0.877189,1.011231,0.294987,464000000,,59000000,104915
Oregon,1983,1.119892,1.008344,0.294987,231000000,,104600000,96198
Pennsylvania,1983,0.962161,1.027127,0.294987,763600000,,447300000,259935
Rhode Island,1983,1.208925,0.965323,0.294987,88400000,,33200000,23481
South Carolina,1983,0.929071,1.015291,0.294987,347300000,,94600000,100659
South Dakota,1983,0.935642,0.969914,0.294987,55500000,,24500000,20673
Tennessee,1983,0.868157,0.996218,0.294987,365400000,,121200000,123790
Texas,1983,0.908329,0.999183,0.294987,2016500000,,260000000,518400
Utah,1983,0.972805,1.019268,0.294987,192200000,,45200000,54326
Vermont,1983,1.139689,0.973758,0.294987,32400000,,42200000,13984
Virginia,1983,0.962968,1.023269,0.294987,572300000,,184400000,183630
Washington,1983,1.080378,0.990187,0.294987,443700000,,111000000,150375
West Virginia,1983,0.898378,1.024591,0.294987,162900000,,43800000,56425
Wisconsin,1983,0.943718,1.001632,0.294987,543700000,,203200000,194386
Wyoming,1983,0.990707,0.956238,0.294987,97200000,,13700000,16592
U.S.,1983,1.000000,1.000000,0.294987,22846000000,,6172400000,7292346
Alabama,1982,0.874817,1.020407,0.278663,371100000,,105000000,144840
Alaska,1982,1.240049,0.972260,0.278663,127300000,,10200000,12794
Arizona,1982,0.962463,1.016214,0.278663,307400000,,87600000,122762
Arkansas,1982,0.852109,1.004731,0.278663,174100000,,46100000,55883
California,1982,1.271378,0.974561,0.278663,3088100000,,324700000,1075967
Colorado,1982,1.044599,1.024068,0.278663,285300000,,140000000,117425
Connecticut,1982,1.194171,1.001642,0.278663,220200000,,43300000,61391
Delaware,1982,1.033892,1.040890,0.278663,69900000,,36600000,21821
Florida,1982,0.952375,1.019976,0.278663,797700000,,166700000,296090
Georgia,1982,0.877999,1.009819,0.278663,559200000,,105500000,161800
Hawaii,1982,1.412833,1.019532,0.278663,170000000,,10000000,31540
Idaho,1982,0.936217,0.976970,0.278663,96900000,,16500000,28720
Illinois,1982,0.940432,0.987444,0.278663,898700000,,195700000,387811
Indiana,1982,0.898821,1.007056,0.278663,453800000,,176100000,155892
Iowa,1982,0.919148,1.017111,0.278663,306700000,,91400000,94316
Kansas,1982,0.922519,1.001955,0.278663,287200000,,65800000,90814
Kentucky,1982,0.867281,1.004377,0.278663,332800000,,72800000,93790
Louisiana,1982,0.914179,1.000753,0.278663,459800000,,73200000,115702
Maine,1982,1.099617,1.026167,0.278663,64800000,,33000000,26700
Maryland,1982,1.191517,0.990881,0.278663,376200000,,132800000,138254
Massachusetts,1982,1.250533,0.987311,0.278663,362000000,,126000000,127374
Michigan,1982,0.859225,1.008582,0.278663,883000000,,423100000,327077
Minnesota,1982,0.964954,0.989603,0.278663,536900000,,115700000,162921
Mississippi,1982,0.831364,1.008723,0.278663,262000000,,68800000,90754
Missouri,1982,0.850668,0.985412,0.278663,318700000,,107700000,134973
Montana,1982,0.976729,1.059349,0.278663,83700000,,15000000,28071
Nebraska,1982,0.947714,1.001357,0.278663,191000000,,45300000,61200
Nevada,1982,1.056863,1.038213,0.278663,68600000,,17700000,21797
New Hampshire,1982,1.137034,1.039625,0.278663,39300000,,51400000,20714
New Jersey,1982,1.144609,0.989993,0.278663,553100000,,132000000,171609
New Mexico,1982,0.941450,0.988873,0.278663,188600000,,30000000,52209
New York,1982,1.056591,0.989115,0.278663,1550900000,,367000000,435249
North Carolina,1982,0.895671,0.984330,0.278663,627000000,,96800000,180471
North Dakota,1982,1.013961,1.020071,0.278663,105100000,,26000000,29369
Ohio,1982,0.870701,1.009494,0.278663,718100000,,333000000,322800
Oklahoma,1982,0.877189,1.011231,0.278663,390000000,,52700000,101627
Oregon,1982,1.119892,1.008344,0.278663,248400000,,94600000,99365
Pennsylvania,1982,0.962161,1.027127,0.278663,718800000,,396300000,254222
Rhode Island,1982,1.208925,0.965323,0.278663,81800000,,28800000,24622
South Carolina,1982,0.929071,1.015291,0.278663,341700000,,84700000,99522
South Dakota,1982,0.935642,0.969914,0.278663,57000000,,21900000,20701
Tennessee,1982,0.868157,0.996218,0.278663,347400000,,107000000,121408
Texas,1982,0.908329,0.999183,0.278663,1887800000,,244300000,493400
Utah,1982,0.972805,1.019268,0.278663,173800000,,40400000,51757
Vermont,1982,1.139689,0.973758,0.278663,29800000,,37400000,14170
Virginia,1982,0.962968,1.023269,0.278663,529400000,,156000000,185937
Washington,1982,1.080378,0.990187,0.278663,443100000,,111900000,151683
West Virginia,1982,0.898378,1.024591,0.278663,169700000,,32000000,56448
Wisconsin,1982,0.943718,1.001632,0.278663,525400000,,195000000,191396
Wyoming,1982,0.990707,0.956238,0.278663,82600000,,11500000,15489
U.S.,1982,1.000000,1.000000,0.278663,21961900000,,5503000000,7282647
Alabama,1981,0.874817,1.020407,0.258505,368200000,,102000000,145092
Alaska,1981,1.240049,0.972260,0.258505,105300000,,9200000,11744
Arizona,1981,0.962463,1.016214,0.258505,267900000,,80100000,121835
Arkansas,1981,0.852109,1.004731,0.258505,164700000,,40700000,55125
California,1981,1.271378,0.974561,0.258505,3077300000,,259600000,1048051
Colorado,1981,1.044599,1.024068,0.258505,235200000,,122000000,115913
Connecticut,1981,1.194171,1.001642,0.258505,200600000,,40700000,60385
Delaware,1981,1.033892,1.040890,0.258505,58800000,,31600000,21253
Florida,1981,0.952375,1.019976,0.258505,714700000,,138600000,299391
