opeid5_new,ftfac,ptfac,totfteiarep,tuition,statea,eg
1098,158,63,1538,6577856.104259597,17444638.19360807,19304707.84931738
1098,162,57,1618,7188620.989262301,18100363.49124763,21235403.53512774
1098,162,76,3004,9442528.497541565,20070715.58191403,25839965.05016558
1098,169,82,3439,9977442.870835023,20163131.78331137,27363059.03655548
1098,175,83,3416,8808341.215041228,19814867.27680623,24087912.30332522
1098,172,80,3574,9797070.722526358,20127269.35878785,30662495.19653115
1098,174,86,3529,10244398.65466173,20149247.67737057,30164931.9389193
1137,775,861,24911,82522840.05741416,149527717.6559881,164298565.6370472
1137,769,1069,27976,101849005.3956982,144322805.3052345,174958567.0697908
1137,904,1094,29480,114489419.9497753,174232833.524635,260907041.5946371
1137,888,966,30151,108964797.8376419,126033265.5666396,252247333.8565491
1137,868,749,27722,133045629.3719417,133505976.3204329,226840648.7612446
1137,849,833,27562,148305026.0279974,151029874.9226902,267923085.910001
1137,881,956,28371,170242991.8669404,105523519.9599892,269930874.4615098
1137,892,1020,28948,172564283.2590396,109078497.9583587,285985521.2057313
1138,334,433,12002,43541781.15752568,83403958.0455444,94245800.92112732
1138,325,418,11814,49425192.3862277,78982128.27854656,98089045.77792138
1138,353,437,12467,53091370.28003345,88594242.42969383,129731769.8797817
1138,374,448,13617,59290188.1283117,65166884.24458468,133887580.7200595
1138,355,375,13396,72231562.69382772,66918952.50872701,111605778.6246621
1138,328,300,11285,72420449.96159434,72163517.38501115,118021226.7369728
1138,311,363,12727,85504064.84548189,58455255.44984286,127916210.634952
1138,306,396,12958,85708905.83934002,59089507.71104521,140140122.3772641
1139,978,879,27412,73841207.34146897,176926644.9058867,196512830.7638466
1139,974,983,28599,91939595.25604048,172097828.3125591,212379829.6847966
1139,1035,1045,30680,99737392.51634732,199280524.8689511,281153144.3614321
1139,1020,1122,30892,107272932.8258313,171890686.8786834,284579270.5635391
1139,1002,913,28496,115872158.0001521,121197159.72071,257261190.3965852
1139,954,859,27191,121063795.2990673,162967552.5731363,282225478.1824564
1139,965,955,28095,145049738.5317991,119812140.6269431,288483342.2742379
1139,946,883,28288,146006140.6501166,122972135.4018907,288267301.6676804
1140,613,451,17017,46850794.40231312,114391610.5161108,123459900.4531377
1140,582,561,17229,53743010.64792849,113669000.7978085,122439719.314215
1140,580,648,17806,58564231.52194005,129497405.2792562,153166768.39645
1140,586,615,17817,61490498.87557448,92466440.63230771,166454145.8217086
1140,581,461,16719,51706579.09663929,101693426.0166177,146709927.881125
1140,557,496,15633,54368161.04169201,111357865.479851,161758870.1593336
1140,565,545,17081,65056627.0252433,89592027.25271188,161654111.8838791
1140,561,540,17546,72943866.98395681,91033838.70187043,168177681.6468471
1141,312,481,9489,26106526.11262334,65881942.85581407,69253899.12656292
1141,291,378,9196,29217464.87704447,65023136.80825899,68093991.47218843
1141,319,392,9210,32889516.0696472,69759144.41848303,92563537.23991281
1141,310,393,9552,35743943.16430116,50320535.86094214,96320903.52859725
1141,298,319,10497,43727554.2967525,61067432.24507468,83123290.78576136
1141,280,345,9956,43732560.5663017,67541364.09869221,96117070.18953602
1141,275,422,10311,56131424.06937686,55452978.53215396,95992087.05062178
1141,268,435,9863,53211074.62678257,53228370.59949479,99069237.85982698
1142,481,400,13733,26092694.37757671,90118481.78693566,98228490.07244356
1142,451,405,14112,30571188.48222492,89071797.09624222,95780445.59917375
1142,472,425,14598,50536604.59260949,104809952.949412,133213386.9235773
1142,472,453,15421,57109362.26317079,73633454.91382806,141280303.6615048
1142,454,372,14817,64171259.23603507,81399920.80178764,121205609.8614659
1142,434,363,13834,67741836.97204481,88914326.5459837,137703136.8911446
1142,435,359,14848,84799001.31638618,69820060.49687415,144104240.2276122
1142,446,377,15749,82740307.28592187,70121895.29621181,146686713.9973726
1143,717,363,17171,58730544.02482934,126870244.5893062,146472815.7483188
1143,685,387,17619,70971296.88893957,127011613.0292731,148796726.6549574
1143,739,391,18836,77825303.71810792,147511815.4952098,207179503.6666075
1143,770,366,18495,85175538.34708704,103990708.2632384,214810666.4400091
1143,781,300,18226,103216948.6684746,107794014.4942468,206248002.9386321
1143,727,316,17022,109059142.0638095,118285783.1579819,231430206.9849368
1143,729,335,17362,124908642.3172901,82504281.36425385,229423199.1476835
1143,735,313,17346,133021142.0995962,85445324.09886117,242804097.4122736
1144,604,477,17646,43130227.39525885,130092712.0219992,134479128.3963993
1144,560,504,17914,51885248.22105636,124912993.9506623,134647925.6072671
1144,604,575,19266,58307795.49902,142317662.4537121,174466636.5927953
1144,573,457,18750,63357819.96046228,100637428.035246,180176011.5815507
1144,566,456,17577,70063951.75097999,108818452.223067,159685270.7904924
1144,505,452,17225,70658031.65703568,118307122.3576896,177705365.1881251
1144,516,509,17705,79262454.15768619,89593964.97579582,179460246.9330816
1144,530,538,18142,80517979.42682144,88308808.4487108,183643811.4377703
1146,535,357,14135,36679829.46974689,109936625.1239524,102778134.8859658
1146,509,427,14807,36277077.89702453,105606565.6506573,106320052.1652305
1146,564,455,15829,46918694.23642369,118548148.7299186,144838131.9942805
1146,570,411,15882,48991571.0808918,83737628.52954346,143445732.4837625
1146,532,370,15485,62444187.40570931,88902900.96257433,130548709.2767809
1146,501,361,14626,62268706.11701642,97424099.32358406,141952445.2948009
1146,484,393,14671,73019618.57286598,75354683.51012942,141221656.0186959
1146,482,386,14839,73256213.78555015,77064227.57804474,143494607.1358222
1147,659,538,17444,48394746.55204954,129944065.9674067,146548370.4614592
1147,650,505,17901,54049917.66534874,128073298.1018181,139547225.6654839
1147,717,583,19008,49929023.66400547,148593674.9999831,185840246.7388652
1147,710,592,19081,57144848.39312145,105998864.3808377,183212704.9051855
1147,656,487,17943,68575745.5085834,113758303.8404974,175727906.1731549
1147,643,496,17871,57023811.49806535,124334448.8035449,178440136.5918491
1147,632,454,18813,73221435.63250202,95551336.51486044,178233539.2333739
1147,643,550,18994,73498134.34230535,95698760.58192247,182392377.8871992
1149,291,194,7330,19672303.03475601,65933654.26464078,62373234.54243545
1149,292,218,7173,21860098.10814578,66727241.09200121,60905209.52108677
1149,287,222,7238,23647813.49424675,74801308.39664435,77342005.7101666
1149,283,226,7213,26844046.01845938,53178256.50293998,82580493.62306535
1149,274,224,7233,30673997.39661902,62469916.06221276,79504219.54142167
1149,251,240,7212,33976415.78806772,70358552.57810387,87195620.48108441
1149,264,241,7407,37216925.96363037,57605114.84560861,91980777.2056468
1149,266,267,7354,37796262.49314848,56603976.34570154,94599009.62797377
1150,821,732,22459,62755389.8062821,145271980.2401578,169221574.1930167
1150,785,689,23081,74843023.753506,144578094.0176399,165731940.523089
1150,788,765,23294,90824470.53516153,161387175.4966798,220232151.8347442
1150,784,690,23611,94884827.66218065,114953851.8280109,231511954.071396
1150,779,626,23402,108802267.6771087,123601957.4733796,209884988.9081001
1150,724,472,21810,102704116.3857208,135270150.9896087,223704530.2648773
1150,702,596,22631,118164366.0890274,100464723.373775,220326127.5249898
1150,672,606,22235,113722322.126715,102561950.744365,223858709.2074547
1153,914,1087,25837,36528267.13221478,199188805.0064798,209016690.1510628
1153,804,1020,25974,78154933.88460563,160340138.7571979,183736490.4634699
1153,826,1010,28285,90953040.11049439,189924174.6475821,245168439.6190355
1153,847,1008,29176,99060110.77677244,135074072.4222087,251622156.3075071
1153,832,935,26788,115879186.3681147,145348857.8032914,232409133.4369001
1153,790,932,26896,141778524.4647878,173454471.1101733,266195216.8782863
1153,851,973,28072,163301261.8503903,119591431.2521543,278721105.985148
1153,886,950,28061,163116277.18407,120961401.472501,296916824.2366856
1154,803,716,23577,79238736.93145107,142523257.0065474,199799644.5684982
1154,785,793,24409,94444197.3855096,140858507.5101041,197671636.689781
1154,857,851,25549,109353865.0896864,167127679.1630255,253830565.1467373
1154,867,755,25436,115604629.0459837,118618316.02978,256426299.4208654
1154,858,559,24944,135273518.2441369,126245717.7971158,227802605.1038372
1154,804,673,24094,139790421.5504951,139239063.6862665,244079439.2458603
1154,796,719,24392,159899737.3607309,102273832.2701406,250480289.4563395
1154,804,824,24646,160433530.6089568,106042292.4599047,258434395.4089196
1155,753,832,21970,72281731.10093944,150365494.8498749,176371839.291126
1155,728,987,23487,90935311.59298965,145477989.8808208,185084209.8426179
1155,759,1132,25684,114534424.0048239,165128647.2189865,254640663.3532289
1155,766,1160,26668,125637869.1950527,117566586.2762824,266856496.400201
1155,739,980,23311,138821979.9455089,122449058.7903403,242129926.8917444
1155,694,918,22060,140422261.8410719,130875787.8169353,262836154.5156461
1155,707,1056,23505,174950408.8482783,91525343.422893,275243806.6306265
1155,698,1026,23358,163968597.9692315,91350862.03034604,270294540.8600551
1156,272,222,6998,23267219.65891119,53191034.03128379,55804574.40942653
1156,264,223,6902,26517179.87137571,53081662.26798628,53532313.8122381
1156,276,286,7920,32486842.08343471,62762635.41647235,77434441.30819139
1156,276,299,7955,34140765.35225736,44877512.45106785,83444862.62337793
1156,273,233,7365,39375588.27239625,50225522.45112699,76426140.60359219
1156,255,267,7467,40663320.67160888,54679331.43782948,84218111.11700797
1156,258,231,7712,49309447.86097594,42824115.63956475,83508393.36715159
1156,252,252,7797,52019883.12179812,44518242.29813801,87134930.37340328
1157,286,188,6529,11248239.10477494,51925023.91517133,55341056.11234455
1157,286,202,6987,13264134.47673358,54447124.71210968,61075759.21724621
1157,310,210,7566,15478396.2483019,61535636.76735266,85093398.47892165
1157,314,189,7487,21865888.00144465,43846830.94786598,78905051.89998141
1157,290,111,6989,21919889.18214382,50248691.72263619,70230238.0684222
1157,266,179,6782,26327831.93370674,55529949.19909941,77268906.61006352
1157,282,168,7414,34724530.13182617,43986496.36394127,78024423.67669471
1157,275,185,7055,32177844.10957353,44635033.2714416,82868670.2871722
1345,107,113,3847,5998803.735333874,10005451.6008972,13915556.63256961
1345,107,134,4361,9773837.442146525,1,16339594.86985503
1345,107,103,4067,10204500.76179373,1,16879903.44524702
1345,114,73,2373,10281252.24684881,1,18474527.34457792
1345,112,100,2414,10684859.21084246,1,18719839.40164571
1345,107,80,2561,10545533.23574784,1,22074683.96764328
1345,109,114,1693,14459842.4864237,1,23995066.46662949
1345,112,123,2844,15055345.13510408,1,25668041.10295012
1345,113,110,2806,16392479.77464348,1,28006496.57069478
1378,396,462,9355,46814455.79058529,58751484.62384259,87129244.25206137
1378,417,435,9538,54079690.51867903,65540929.77848742,83208294.56597221
1378,433,454,9838,60379776.21929913,72695889.83027507,94186776.9837456
1378,434,492,10282,69370920.91973338,70590497.44935286,114804044.8852646
1378,441,527,10341,72906445.07058495,71772793.660981,122603749.8038828
1378,441,529,10227,73614765.29343234,61039531.16629494,118051250.7766288
1378,442,519,9990,74316660.38343133,65232273.18526966,123702396.1198973
1380,187,232,4897,23929120.84273621,31532258.39894228,37696909.08793762
1380,198,289,4840,23616567.46706035,35797469.1276274,50262773.67417714
1380,213,317,5314,29508711.05744796,41030986.65473776,48268401.76988713
1380,219,365,5600,37029629.21931603,41369213.40652879,66244837.2685861
1380,229,352,5595,38038345.01174304,44463255.76876351,70060582.556789
1380,226,331,5672,39177381.89496316,37703455.44970769,66258689.37009157
1380,229,400,5390,38446184.31984996,39567643.00942822,71154835.53668222
1406,397,331,9486,47804946.51184441,57280901.18733104,69947074.46268417
1406,404,556,9569,55031273.54490233,63436767.14374661,87065687.32284063
1406,439,616,9080,61206287.85195322,72458384.91576271,95574611.49798931
1406,408,679,9452,71380846.0097577,64993620.96024263,109832752.3045418
1406,438,614,9286,72931129.21869931,59604414.46310658,114745012.2194005
1406,436,687,8709,74108758.60175891,63855032.13911699,121787444.6766018
1425,185,178,4259,17252688.19836442,30796824.60039031,31459463.82589044
1425,189,224,4395,17642303.40513483,35364610.10975094,41150095.52502365
1425,200,214,4614,21778545.95779265,38832600.05291971,45960011.07471614
1425,199,252,5016,28928314.50223878,42242131.47039741,61135292.31609894
1425,194,277,5106,31019573.53055725,37075249.11728676,62041112.87913963
1425,196,284,4986,31617165.19601581,39349129.33286868,63899973.15512638
1428,195,4,2677,10766446.27512503,28212303.51660077,32796963.12202622
1428,183,2,3035,18980471.88491822,31738373.75122499,39531264.63461408
1428,185,54,3045,18966579.05049507,34124455.69805183,45972784.72373445
1428,209,70,2819,19955845.84456103,35391247.49825121,52241134.63232461
1428,206,121,2893,19329070.01341579,35215235.7117971,50848118.30905312
1428,191,67,3334,16201887.54332252,35234158.09172242,52694693.73103373
1428,199,146,3870,19805181.57088064,32025647.50232326,56121629.74233745
1428,212,147,4024,22339185.10826406,31691759.77609658,59207132.73932989
1428,234,145,4088,25597095.99832725,32918850.55919674,62022901.38561098
1544,149,75,3378,5605751.446176331,18212072.54815491,25786016.24036057
1544,143,70,3404,4949683.798061976,18665477.44367566,29758911.0646374
1544,146,87,3371,7915490.206956271,19219077.55803933,27944356.5651105
1544,143,100,3688,7643563.067509799,20563058.23724317,28968475.21940896
1544,149,99,3818,8051113.365867464,22408403.91304237,32819243.05816606
1544,143,109,3922,9959899.591122599,21092330.13160652,33402984.5617819
1544,142,124,4188,11525626.39485334,16769819.82572148,30085857.70772506
1544,146,129,4470,13796044.31243241,18303581.95721817,33085788.60332184
1544,154,121,4485,14516805.53213706,16865784.64011388,36272393.61149128
1544,150,84,3663,15738245.10782475,18075169.2118309,34631419.53116552
1546,218,159,5479,12937914.23734455,24904223.24959448,32881606.1249662
1546,235,189,5449,14222413.21875845,28820945.44072722,37662964.0200392
1546,246,175,5544,18065874.34794877,31389827.99362158,43385850.69948804
1546,238,192,5903,20647963.09465396,30489182.45078906,42761004.83277574
1546,240,193,6531,23428104.98543525,24248596.874755,43761579.86065491
1546,255,175,6578,25375678.64663591,26942118.27642606,49269006.86253886
1546,259,167,6529,31331698.24076608,25265549.44503582,51027571.05721986
1546,253,157,6459,29044919.26791869,25864787.88416633,51100079.53001656
1561,199,162,5876,12453273.01295113,25577442.36554643,33348548.89662746
1561,219,196,6306,15567322.99641795,30640169.67831677,38840925.08542849
1561,247,204,6471,18556943.61468471,33553049.47967356,43455544.72163929
1561,247,187,6475,20219460.55930657,37093726.34461172,46397585.41272978
1561,253,178,6732,22957077.28402947,34373528.76118545,45929016.23385543
1561,262,193,7035,29203040.57502872,27902539.37595465,60515282.99844552
1561,268,207,7056,33316756.85437787,30684250.45389801,63669075.70176061
1561,272,199,7072,39250994.03586273,29118176.45053562,68499805.7723878
1561,290,228,6877,39672153.00805116,29900479.28986719,70831029.20758143
1566,102,3,2154,4217414.559281224,18482997.85179271,22721060.09084381
1566,104,43,3511,6253684.148731075,17189576.42174405,28675041.09942721
1566,144,58,3682,11100494.99335969,19233723.95143958,35800849.95979487
1566,89,3,3201,9225959.332885576,21101639.54295924,33236229.81578636
1570,131,103,3158,8839085.83940761,17570349.67588368,22459753.57476683
1570,136,79,3278,11213146.72636185,19221677.67595127,25023013.04535854
1570,152,112,3908,15185312.23744593,21818370.14347628,28044389.82211408
1570,181,99,4577,21991247.43493174,16838899.94461341,35258019.82283218
1570,201,88,4831,31223620.23252061,19645849.91421668,33066791.54638078
1570,215,101,4998,27856707.08491315,18449524.12194174,44526983.38830596
1570,204,90,5259,31816550.88839889,18695005.89949986,49816434.0002112
1573,101,29,2110,4217257.446598743,12236352.769338,15181085.7123209
1573,91,28,2080,4311793.69937821,11697585.25599824,15204322.87202622
1573,84,41,2158,4823073.282103271,11791670.5371891,15245608.59358948
1573,93,40,2160,5245658.87624189,13904550.9861449,17959072.63779062
1573,97,48,2672,8020829.411403419,9583316.008515814,17026375.13790045
1573,103,53,2837,9550143.896221951,11197355.93194106,21000421.15201744
1573,108,54,2813,12609730.08942451,10551087.46002298,23679851.87366518
1573,108,57,2690,11335555.93281123,10749912.58987226,22412998.00425791
1577,441,354,14470,41054259.69820391,52914008.48830765,74987647.91739321
1577,511,339,14948,45866422.34718843,59115253.82451338,83365596.36557177
1577,552,360,15745,49336488.69932752,67440219.41493477,91733582.70588334
1577,594,404,17078,56700443.53274533,72766928.03870979,106168585.8410043
1577,631,484,18045,64149396.32738578,79580866.28468843,117232571.5021459
1577,660,494,19152,75244242.0228271,78240046.28593032,126934513.374755
1577,691,555,20340,88170286.46382467,65330803.20364456,148772662.2290906
1577,731,573,21229,103038783.8563716,71541281.33452453,171348243.7044387
1577,736,577,21467,114670005.4609861,70874554.26978575,178740376.988409
1577,716,649,21216,118838399.863333,73607454.70454007,185121394.1473033
1590,125,51,2658,3261532.270579886,15872956.625245,20417139.34847256
1590,124,45,2823,4208474.653681738,16888210.05095972,21691876.97711375
1590,117,33,2883,6173413.145622128,18322913.60598303,23602198.44543289
1590,152,30,3666,8187807.218614828,15034991.28407171,27945660.01847627
1590,158,44,3906,8792349.665526155,17017825.10451304,32659789.20274905
1590,164,57,4219,10100077.07816302,16152676.35977629,34911372.02522641
1590,162,41,4194,11944806.91104015,16735631.33014835,35951082.65851413
1599,424,135,9289,21637545.08391626,42747649.28493343,54594377.11901865
1599,421,72,9377,22569872.10822181,42258614.72441876,56598041.94752805
1599,436,111,9366,25961315.20075527,46410151.51783421,61802371.42962625
1599,441,124,9760,29778891.53059104,48007399.78086138,62881617.23884833
1599,442,145,10246,33650827.87873411,51477680.46573398,70919030.73656732
1599,470,154,10553,36294912.12614895,48785621.56977392,70352933.37512672
1599,473,121,11304,45052004.51175993,40613179.41977561,78726788.1650784
1599,500,125,11705,52813495.16477426,44029088.44836442,88343581.75260206
1599,490,128,11740,56568473.72861753,42048568.64557988,86112738.77404365
1599,474,132,11156,58292488.65045451,43479188.24069005,93434416.71823466
1601,309,84,8729,18353572.88518856,37153100.39111922,49993167.34120708
1601,384,114,8593,23510507.67790281,41259303.38681907,56723814.52918018
1601,391,90,8720,25906510.02984759,43300004.13581373,58429065.1536057
1601,397,94,9430,28866150.25087016,47110895.41799304,69973789.43769431
1601,431,136,10350,38652678.87619965,37313908.13113341,76862439.61334988
1601,449,141,10507,50171099.39378041,36883616.2569022,86747192.76017167
1601,481,134,10359,54186390.39654298,41641381.06415585,91895439.80344349
1602,277,137,5105,14881384.54200459,25522808.85479183,33820232.20404163
1602,281,124,4986,15914974.56949513,27059648.26123614,37599587.47945391
1602,269,128,5173,18276138.63884665,29166989.0333874,41216311.7318701
1602,277,121,5633,21647372.38522236,28933598.14356076,44028247.60456373
1602,263,115,5943,24863848.19969079,32153975.58964416,45848493.07458942
1602,281,99,6155,27583527.89316369,31110961.71069884,48049182.05608779
1602,302,92,6308,31689980.13552649,25541398.58255609,55387714.69971614
1602,317,87,6359,38478557.29109219,27781802.15879292,65131498.00726548
1602,306,92,6389,44526870.88786665,26340921.74775277,67902847.40681604
1602,311,95,6278,46878130.0694022,26408283.32545114,68426705.70245336
1616,516,401,14833,48294080.96499053,71640377.73442146,93743851.11621383
1616,579,477,14760,58093563.62797377,77698538.99896087,100639626.6429694
1616,584,473,15008,64195820.21556501,83768878.43605535,106392931.1136118
1616,606,525,15720,69422893.21319951,89621614.86824986,119549433.674363
1616,623,523,16261,74900771.39280042,90033995.89667815,128953145.6108492
1616,561,471,16186,76021852.81797445,75834621.05236211,135622817.5607174
1616,595,418,16861,82932622.90759327,71836166.3222408,144516398.1948246
1616,623,506,16577,96073926.27106144,67405419.92559645,146006116.4043322
1616,624,541,16775,103377584.7483357,74330391.25601514,155778921.9157289
1674,594,90,10789,44292461.67509799,45282977.61197283,117418320.3955883
1674,639,93,10830,48225902.78927582,46173002.53143585,90635624.00031258
1674,611,146,11235,54776653.04631319,46173186.79939679,92781412.7674287
1674,619,153,11429,60425963.46862327,46825835.79192011,102154256.9109641
1674,661,107,11251,64227809.1335834,47705230.38969991,104677736.8081154
1674,651,158,11169,67247183.20855299,47814954.20178595,112920320.072528
1674,632,162,11046,73075934.74105333,46177309.55256488,133464191.1357124
1674,619,141,10609,74038846.36754866,45986737.68770275,135780615.9139801
1674,600,143,10126,81432250.13061807,45466859.58002163,140126024.9084212
1674,592,155,9415,72041423.37375811,42722139.81032036,159226801.43554
1693,399,233,3949,24684057.95020613,37204981.52043626,87737552.5541954
1693,416,266,8670,31831221.52758346,37986565.71472019,68349726.30702555
1693,412,292,8174,39226989.73954109,39516011.12677412,74402895.84948635
1693,422,279,8070,41384705.49288659,42714343.33591004,84063577.21614793
1693,405,296,8503,49211113.74853846,38384454.5529366,97770055.63142064
1693,417,303,8662,51452347.50043086,39483017.46345296,103163369.3644228
1693,418,302,8474,54578998.50293154,39014862.40257502,112655059.5539419
1693,385,257,8005,53151390.2342356,36666997.63084617,122988105.6151156
1694,319,47,5023,16760187.46052142,72881662.96950188,77733138.70303629
1694,313,156,5199,21760194.80854623,50492302.69547512,52677883.64383955
1694,311,149,4978,21359051.21624088,54637154.44123411,56783635.66795079
1694,318,121,5033,24371235.93123986,58961078.76126149,57798184.99608847
1694,309,140,5107,28178539.80716917,59177424.86470161,56924730.61547039
1694,311,112,5651,32766977.87562517,65216445.53725669,84721121.9174439
1694,290,229,6024,36634649.87521965,64544398.94743511,90879767.41057548
1694,298,174,5437,39213013.49961983,68367337.4749341,91672974.06403758
1694,306,120,4872,38449327.54333097,75649550.0710496,96739637.92235231
1759,521,244,11399,40489224.30211712,60945072.50002534,92410508.51734421
1759,530,230,11468,45838523.20807143,60949246.65425622,101835278.4024398
1759,560,255,11493,52060608.28082758,61087085.87785549,104511051.8899787
1759,580,237,10765,60282064.73860334,62089265.00682616,109757715.4813547
