fy,state_abbrev,fips,y,x1,x2,x3,x4,x5,MD,decade,state,region_compact,state_name,yfte,MDSREB,lnnetut,lnfte,lnperinc
1998,ID,16,247600000,57956776,37252,2868796928,28573,1252330,0,2,ID,2,IDAHO,6646.623,,17.875208,10.525461,10.260218
1999,ID,16,278000000,59008276,37937,3039342080,30346,1275674,0,2,ID,2,IDAHO,7327.9385,,17.893188,10.543682,10.32042
2000,ID,16,291000000,65703576,38853,3294238976,32791,1299430,0,3,ID,2,IDAHO,7489.769,,18.000664,10.56754,10.397909
2001,ID,16,323623488,69895976,39495,3564300800,34062,1319962,0,3,ID,2,IDAHO,8194.0371,,18.062519,10.583929,10.435938
2002,ID,16,362302496,52358276,41593,3291095040,35180,1340372,0,3,ID,2,IDAHO,8710.6602,,17.773621,10.635687,10.468233
2003,ID,16,336641696,67607064,43104,3309245696,36403,1363380,0,3,ID,2,IDAHO,7809.9873,,18.029222,10.671371,10.502406
2004,ID,16,339515808,79511248,45184,3805827072,39245,1391802,0,3,ID,2,IDAHO,7514.0713,,18.191408,10.718498,10.577579
2005,ID,16,350879712,89774168,45024,4182545920,41843,1428241,0,3,ID,2,IDAHO,7793.1704,,18.312807,10.714951,10.64168
2006,ID,16,363077184,95127696,44504,4502605824,46161,1468669,0,3,ID,2,IDAHO,8158.3047,,18.370731,10.703335,10.73989
2007,ID,16,375281600,101309800,43378,4761713152,49123,1505105,0,3,ID,2,IDAHO,8651.4268,,18.433693,10.677708,10.802083
2008,ID,16,410595584,91883600,43968,4939722240,50205,1534320,0,3,ID,2,IDAHO,9338.5098,,18.336033,10.691217,10.82387
2009,ID,16,416493088,101423392,44705,4520747008,48477,1554439,0,3,ID,2,IDAHO,9316.4766,,18.434814,10.707841,10.788845
2010,ID,16,369722816,126922968,49251,4340362752,50197,1570773,0,4,ID,2,IDAHO,7506.9097,,18.65909,10.804685,10.82371
2011,ID,16,348063904,152415120,53201,4711409152,53083,1583828,0,4,ID,2,IDAHO,6542.4316,,18.842119,10.881832,10.879612
2012,ID,16,333669600,187317184,58980,4855218176,56140,1595441,0,4,ID,2,IDAHO,5657.3345,,19.048313,10.984954,10.935604
2013,ID,16,360070784,208839216,57837,5104975872,58338,1611530,0,4,ID,2,IDAHO,6225.6133,,19.157076,10.965384,10.974009
2014,ID,16,374642112,217731328,56177,5288314880,61827,1631479,0,4,ID,2,IDAHO,6668.959,,19.198772,10.936263,11.032096
2015,ID,16,401454400,234285728,54102,5680587776,65825,1651523,0,4,ID,2,IDAHO,7420.3247,,19.272053,10.898626,11.094755
2016,ID,16,419045696,218937216,52744,5902944256,68445,1682930,0,4,ID,2,IDAHO,7944.8979,,19.204296,10.873205,11.133786
2017,ID,16,460323008,214572176,53116,6379821056,72355,1718904,0,4,ID,2,IDAHO,8666.3721,,19.184156,10.880234,11.18934
2018,ID,16,478997888,206478592,53570,,77012,1754208,0,4,ID,2,IDAHO,8941.5322,,19.145708,10.888744,11.251717
1980,IL,17,793299968,152900000,342097,12375200768,125211,11434702,0,1,IL,3,ILLINOIS,2318.9329,,18.845295,12.742849,11.737756
1981,IL,17,868499968,165800000,369824,13306002432,138877,11443461,0,1,IL,3,ILLINOIS,2348.4143,,18.926292,12.820783,11.841344
1982,IL,17,898700032,195700000,387811,13673036800,147012,11423413,0,1,IL,3,ILLINOIS,2317.366,,19.092093,12.868274,11.89827
1983,IL,17,931299968,230800000,385343,14418064384,153020,11408817,0,1,IL,3,ILLINOIS,2416.8079,,19.257063,12.861889,11.938324
1984,IL,17,1033500032,261900000,363200,16167482368,168717,11412128,0,1,IL,3,ILLINOIS,2845.5398,,19.383472,12.802709,12.035978
1985,IL,17,1091500032,282300000,354119,17006883840,177210,11399803,0,1,IL,3,ILLINOIS,3082.2974,,19.458481,12.777389,12.085091
1986,IL,17,1213600000,283300000,345494,17866205184,186406,11387256,0,1,IL,3,ILLINOIS,3512.6514,,19.462017,12.75273,12.135682
1987,IL,17,1285699968,284000000,351214,18872186880,197183,11391176,0,1,IL,3,ILLINOIS,3660.731,,19.464485,12.769151,12.191888
1988,IL,17,1224499968,329300000,348745,20692490240,212643,11390186,0,1,IL,3,ILLINOIS,3511.1614,,19.61248,12.762096,12.26737
1989,IL,17,1307600000,367000000,349643,21794482176,226917,11409782,0,1,IL,3,ILLINOIS,3739.8147,,19.720873,12.764668,12.332339
1990,IL,17,1580899968,355700000,357722,24022958080,240801,11453316,0,2,IL,3,ILLINOIS,4419.3535,,19.689598,12.787512,12.391726
1991,IL,17,1610700032,365500000,371187,24614807552,245872,11568964,0,2,IL,3,ILLINOIS,4339.3223,,19.716776,12.824461,12.412566
1992,IL,17,1582099968,395700000,383363,25669435392,265737,11694184,0,2,IL,3,ILLINOIS,4126.8979,,19.796167,12.856737,12.490262
1993,IL,17,1597699968,439300000,380093,27359952896,275363,11809579,0,2,IL,3,ILLINOIS,4203.4448,,19.900694,12.848171,12.525846
1994,IL,17,1663000064,448800000,368286,29080297472,290055,11912585,0,2,IL,3,ILLINOIS,4515.5127,,19.922089,12.816615,12.577826
1995,IL,17,1747100032,452100000,358892,30980724736,307809,12008437,0,2,IL,3,ILLINOIS,4868.0386,,19.929415,12.790777,12.637235
1996,IL,17,1825100032,486600000,355906,32659628032,327553,12101997,0,2,IL,3,ILLINOIS,5128.0396,,20.002953,12.782422,12.699405
1997,IL,17,1918400000,500000000,338802,33924380672,346339,12185715,0,2,IL,3,ILLINOIS,5662.3042,,20.030119,12.733171,12.755174
1998,IL,17,2037200000,525400000,341197,35635372032,367350,12271847,0,2,IL,3,ILLINOIS,5970.7441,,20.07967,12.740215,12.814071
1999,IL,17,2180000000,548920256,342542,37969838080,383423,12359020,0,2,IL,3,ILLINOIS,6364.1831,,20.123465,12.744149,12.856894
2000,IL,17,2573964032,581043200,324174,40256016384,412423,12434161,0,3,IL,3,ILLINOIS,7940.0693,,20.180336,12.689035,12.929805
2001,IL,17,2719733504,611762304,323876,41353576448,427473,12488445,0,3,IL,3,ILLINOIS,8397.4531,,20.231853,12.688116,12.965647
2002,IL,17,2904184064,676544896,335188,41569579008,432412,12525556,0,3,IL,3,ILLINOIS,8664.3438,,20.33251,12.722446,12.977134
2003,IL,17,2716756480,793786816,348182,40026746880,439955,12556006,0,3,IL,3,ILLINOIS,7802.6909,,20.492325,12.760481,12.994428
2004,IL,17,2682059008,907364672,356961.25,45190729728,457435,12589773,0,3,IL,3,ILLINOIS,7513.5859,,20.626055,12.785382,13.03339
2005,IL,17,2685920768,1041851584,356797.59,49138495488,476560,12609903,0,3,IL,3,ILLINOIS,7527.8555,,20.764265,12.784924,13.074348
2006,IL,17,2640436480,1068731200,356491,52144332800,508470,12643955,0,3,IL,3,ILLINOIS,7406.7407,,20.789738,12.784064,13.139161
2007,IL,17,2848129536,1166887296,357931,55078678528,538060,12695866,0,3,IL,3,ILLINOIS,7957.2026,,20.877605,12.788095,13.195725
2008,IL,17,3087877632,1464993664,358679,57834012672,551531,12747038,0,3,IL,3,ILLINOIS,8609.0283,,21.105116,12.790183,13.220453
2009,IL,17,3203555328,1587322496,368019,56770772992,525211,12796778,0,3,IL,3,ILLINOIS,8704.8643,,21.185314,12.81589,13.171556
2010,IL,17,3684064512,1789555328,391925.91,53701623808,540493,12840762,0,4,IL,3,ILLINOIS,9399.9004,,21.305233,12.878828,13.200237
2011,IL,17,3603549184,1947496320,393312.63,59551952896,567968,12867291,0,4,IL,3,ILLINOIS,9162.0479,,21.389811,12.88236,13.249821
2012,IL,17,3832385792,2027827584,384614.72,66475270144,593239,12884119,0,4,IL,3,ILLINOIS,9964.2207,,21.430231,12.859998,13.293353
2013,IL,17,4292588544,2203354112,373403,69268455424,607671,12898269,0,4,IL,3,ILLINOIS,11495.859,,21.513247,12.830414,13.317389
2014,IL,17,4306995712,2252844288,362508,70820962304,637279,12888962,0,4,IL,3,ILLINOIS,11881.105,,21.53546,12.800802,13.364963
2015,IL,17,4385575424,2354393344,351917,73838239744,662761,12864342,0,4,IL,3,ILLINOIS,12461.96,,21.57955,12.771151,13.40417
2016,IL,17,3350027264,2418538240,342422,72574959616,670504,12826895,0,4,IL,3,ILLINOIS,9783.3291,,21.60643,12.743799,13.415785
2017,IL,17,4546523648,2401774080,330668,73702096896,689724,12786196,0,4,IL,3,ILLINOIS,13749.512,,21.599474,12.70887,13.444047
2018,IL,17,4141275392,2381885440,319582,,724189,12741080,0,4,IL,3,ILLINOIS,12958.412,,21.591158,12.674769,13.492807
1980,IN,18,388400000,125600000,142061,4083080960,51419,5490721,0,1,IN,3,INDIANA,2734.0369,,18.648613,11.864012,10.847763
1981,IN,18,435700000,149200000,153234,4540125184,56407,5480440,0,1,IN,3,INDIANA,2843.3638,,18.820799,11.939721,10.940349
1982,IN,18,453800000,176100000,155892,4829053952,58429,5467918,0,1,IN,3,INDIANA,2910.9897,,18.986563,11.956919,10.975568
1983,IN,18,456100000,214700000,157631,4960188928,61277,5450396,0,1,IN,3,INDIANA,2893.4663,,19.184752,11.968012,11.02316
1984,IN,18,499300000,233500000,157304,6008805888,68009,5458322,0,1,IN,3,INDIANA,3174.1086,,19.268692,11.965936,11.127396
1985,IN,18,538099968,242900000,152522,6493432832,71813,5459214,0,1,IN,3,INDIANA,3528.0154,,19.308161,11.935064,11.181821
1986,IN,18,595100032,255800000,151256,6753615872,75637,5454103,0,1,IN,3,INDIANA,3934.3896,,19.359907,11.926729,11.233701
1987,IN,18,646800000,271700000,151753,7237743104,80258,5473023,0,1,IN,3,INDIANA,4262.1895,,19.42021,11.93001,11.293002
1988,IN,18,689000000,296600000,155593,8006026752,85926,5491733,0,1,IN,3,INDIANA,4428.2197,,19.507895,11.954999,11.361241
1989,IN,18,736800000,324000000,161211,8863601664,93581,5523679,0,1,IN,3,INDIANA,4570.4077,,19.596254,11.990469,11.446583
1990,IN,18,794800000,362100000,167999,9043456000,98749,5557798,0,2,IN,3,INDIANA,4730.9805,,19.707432,12.031713,11.500337
1991,IN,18,854099968,390000000,171054,9755769856,101775,5616388,0,2,IN,3,INDIANA,4993.1597,,19.781658,12.049734,11.530519
1992,IN,18,877000000,442600000,177364,10665112576,110148,5674547,0,2,IN,3,INDIANA,4944.6338,,19.908176,12.085959,11.60958
1993,IN,18,871000000,474900000,181094,10985194496,116112,5739019,0,2,IN,3,INDIANA,4809.6567,,19.978615,12.106771,11.662311
1994,IN,18,890300032,497600000,178048,12189068288,123384,5793526,0,2,IN,3,INDIANA,5000.3374,,20.025307,12.089808,11.723057
1995,IN,18,894499968,527100000,173069,12772364288,129006,5851459,0,2,IN,3,INDIANA,5168.4585,,20.082901,12.061445,11.767614
1996,IN,18,939500032,550600000,172362,12979690496,136364,5906013,0,2,IN,3,INDIANA,5450.7378,,20.126518,12.057352,11.823083
1997,IN,18,990600000,584800000,174731,14723854336,143496,5955267,0,2,IN,3,INDIANA,5669.2861,,20.186781,12.071003,11.874063
1998,IN,18,1044899968,616000000,178920,14746913792,154851,5998880,0,2,IN,3,INDIANA,5840.04,,20.238758,12.094694,11.950218
1999,IN,18,1102200064,648899968,183359,15575750656,161357,6044969,0,2,IN,3,INDIANA,6011.1587,,20.290789,12.119202,11.991375
2000,IN,18,1226676992,701195008,187225,16363429888,171990,6091866,0,3,IN,3,INDIANA,6551.8867,,20.368296,12.140066,12.055192
2001,IN,18,1283197056,751089984,193129.81,16310062080,175851,6127760,0,3,IN,3,INDIANA,6644.2207,,20.437037,12.171118,12.077393
2002,IN,18,1198057728,872057984,204001.55,16986637312,178418,6155967,0,3,IN,3,INDIANA,5872.7876,,20.586367,12.225883,12.091885
2003,IN,18,1315842176,998671296,213728.36,18262263808,182652,6196638,0,3,IN,3,INDIANA,6156.6099,,20.721937,12.272461,12.115338
2004,IN,18,1360311936,1089776000,219021.42,18675023872,191298,6233007,0,3,IN,3,INDIANA,6210.8623,,20.809238,12.296925,12.161588
2005,IN,18,1417478400,1171407232,220359.19,21337077760,197697,6278616,0,3,IN,3,INDIANA,6432.5815,,20.881472,12.303014,12.19449
2006,IN,18,1429113344,1280886016,219944.06,22950381568,209428,6332669,0,3,IN,3,INDIANA,6497.6221,,20.970818,12.301128,12.252135
2007,IN,18,1456514176,1337494144,223483.33,21323069440,216814,6379599,0,3,IN,3,INDIANA,6517.3281,,21.014063,12.317092,12.286795
2008,IN,18,1525216640,1328003456,229250.66,22954399744,226333,6424806,0,3,IN,3,INDIANA,6653.0522,,21.006943,12.342571,12.329762
2009,IN,18,1639107200,1474328064,239872.59,23876218880,220275,6459325,0,3,IN,3,INDIANA,6833.2407,,21.111467,12.387863,12.302632
2010,IN,18,1595424384,1660671872,265757.47,23334191104,230109,6490436,0,4,IN,3,INDIANA,6003.3096,,21.230488,12.490339,12.346309
2011,IN,18,1564730624,1777980160,273322.53,23152482304,245346,6516045,0,4,IN,3,INDIANA,5724.8506,,21.298744,12.518408,12.410425
2012,IN,18,1551918208,2042096640,262545.81,24513949696,257150,6537640,0,4,IN,3,INDIANA,5911.0376,,21.437243,12.478181,12.457415
2013,IN,18,1557306240,2087951232,256330.63,24919642112,260425,6568367,0,4,IN,3,INDIANA,6075.3813,,21.45945,12.454224,12.47007
2014,IN,18,1663061248,2092348544,253336.69,24726964224,270986,6593533,0,4,IN,3,INDIANA,6564.6284,,21.461554,12.442474,12.509823
2015,IN,18,1648510720,2154413568,252802.16,25388748800,281692,6608296,0,4,IN,3,INDIANA,6520.9521,,21.490784,12.440363,12.54857
2016,IN,18,1739630080,2205821696,249925.48,25689872384,290148,6633344,0,4,IN,3,INDIANA,6960.5952,,21.514366,12.428918,12.578146
2017,IN,18,1745379200,2235211008,248664,25929308160,301203,6660082,0,4,IN,3,INDIANA,7019.0264,,21.527601,12.423858,12.61554
2018,IN,18,1773727744,2248757760,247677.78,,315516,6691878,0,4,IN,3,INDIANA,7161.4326,,21.533644,12.419884,12.661964
1980,IA,19,247200000,69900000,84210,2817576960,27994,2914018,0,1,IA,3,IOWA,2935.5183,,18.062576,11.341069,10.239745
1981,IA,19,281200000,78300000,90586,3028442880,31681,2907985,0,1,IA,3,IOWA,3104.2324,,18.176058,11.414055,10.363472
1982,IA,19,306700000,91400000,94316,3294010880,32544,2888190,0,1,IA,3,IOWA,3251.8342,,18.330755,11.454406,10.390348
1983,IA,19,350800000,107800000,96266,3402204928,33150,2870547,0,1,IA,3,IOWA,3644.0696,,18.495789,11.474871,10.408798
1984,IA,19,341300000,117600000,97758,3703909888,36944,2858615,0,1,IA,3,IOWA,3491.2744,,18.5828,11.490251,10.517159
1985,IA,19,371000000,133800000,94995,3838565120,38216,2829684,0,1,IA,3,IOWA,3905.4688,,18.711857,11.461579,10.551009
1986,IA,19,364600000,140100000,94599,4041094912,39480,2791969,0,1,IA,3,IOWA,3854.1633,,18.757868,11.457402,10.583549
1987,IA,19,383200000,149500000,94122,4360082944,41377,2767006,0,1,IA,3,IOWA,4071.3118,,18.822807,11.452347,10.630481
1988,IA,19,416400000,167300000,93876,4703088128,42760,2768393,0,1,IA,3,IOWA,4435.6387,,18.935299,11.44973,10.663359
1989,IA,19,452900000,184600000,96600,4995332096,46555,2770590,0,1,IA,3,IOWA,4688.4058,,19.033701,11.478334,10.748389
1990,IA,19,495800000,202800000,97989,5224732160,49023,2781018,0,2,IA,3,IOWA,5059.7515,,19.127731,11.492611,10.800045
1991,IA,19,552300032,214700000,100764,5442648064,50145,2797613,0,2,IA,3,IOWA,5481.1245,,19.184752,11.520536,10.822674
1992,IA,19,529400000,227800000,90078,5757070848,53792,2818401,0,2,IA,3,IOWA,5877.1289,,19.243979,11.408431,10.89288
1993,IA,19,570700032,248400000,89981,6206125056,54053,2836972,0,2,IA,3,IOWA,6342.4502,,19.330551,11.407353,10.89772
1994,IA,19,594300032,261100000,94188,6496950784,58946,2850746,0,2,IA,3,IOWA,6309.7212,,19.380415,11.453048,10.984377
1995,IA,19,611200000,270800000,93641,7007030784,61329,2867373,0,2,IA,3,IOWA,6527.0557,,19.416891,11.447224,11.024008
1996,IA,19,643699968,281400000,100434,6982600192,66841,2880000,0,2,IA,3,IOWA,6409.1836,,19.455288,11.517256,11.110072
1997,IA,19,670600000,298700000,95023,7195350016,69956,2891119,0,2,IA,3,IOWA,7057.2388,,19.51495,11.461874,11.155622
1998,IA,19,704687616,323859840,96706,7458719232,73327,2902872,0,2,IA,3,IOWA,7286.9067,,19.595821,11.479431,11.202684
1999,IA,19,784986752,339493408,101566,7673090048,75331,2917634,0,2,IA,3,IOWA,7728.834,,19.642965,11.528464,11.229647
2000,IA,19,824062400,360867968,103390,8090525184,80442,2929067,0,3,IA,3,IOWA,7970.4268,,19.704023,11.546264,11.295292
2001,IA,19,851184064,383667328,105545,8063867904,82725,2931997,0,3,IA,3,IOWA,8064.6553,,19.765285,11.566893,11.323277
2002,IA,19,786640000,428498272,110834,8330414080,84647,2934234,0,3,IA,3,IOWA,7097.4609,,19.875797,11.615788,11.346245
2003,IA,19,769854464,510572160,115060,7876462592,86452,2941999,0,3,IA,3,IOWA,6690.8955,,20.051043,11.653209,11.367345
2004,IA,19,737622336,552968128,117664,9018747904,93511,2953635,0,3,IA,3,IOWA,6268.8872,,20.130812,11.675589,11.445834
2005,IA,19,743121792,587759936,117737,9704860672,96564,2964454,0,3,IA,3,IOWA,6311.71,,20.19183,11.676208,11.477962
2006,IA,19,779847296,601559040,112341,10256455680,102580,2982644,0,3,IA,3,IOWA,6941.7871,,20.215034,11.629294,11.538398
2007,IA,19,804448704,647191744,112934,10933482496,109890,2999212,0,3,IA,3,IOWA,7123.1753,,20.288153,11.634559,11.607235
2008,IA,19,873724160,683347072,115011,11541176320,116256,3016734,0,3,IA,3,IOWA,7596.8745,,20.342514,11.652783,11.66355
2009,IA,19,914194624,736705024,117254,11892337664,112628,3032870,0,3,IA,3,IOWA,7796.7031,,20.417698,11.672098,11.631845
2010,IA,19,863776448,843076544,127128,11948910592,116247,3050767,0,4,IA,3,IOWA,6794.5415,,20.552568,11.75295,11.663472
2011,IA,19,758711936,938365952,132744,12649128960,125561,3066054,0,4,IA,3,IOWA,5715.6025,,20.659651,11.796178,11.740547
2012,IA,19,740351680,994379648,132423,13563466752,131984,3076097,0,4,IA,3,IOWA,5590.8091,,20.71763,11.793756,11.790436
2013,IA,19,787419712,1023528896,129669,13787267072,134464,3093078,0,4,IA,3,IOWA,6072.5361,,20.746523,11.77274,11.809052
2014,IA,19,823332992,1067878656,127407,13756096512,139303,3109504,0,4,IA,3,IOWA,6462.2271,,20.78894,11.755142,11.844407
2015,IA,19,847741376,1098980480,124883,14858540032,144288,3121460,0,4,IA,3,IOWA,6788.2847,,20.817648,11.735132,11.879566
2016,IA,19,849068032,1130329856,126165,15291345920,145411,3131785,0,4,IA,3,IOWA,6729.8223,,20.845776,11.745346,11.88732
2017,IA,19,829402816,1186507392,126555,15693168640,149191,3143637,0,4,IA,3,IOWA,6553.6943,,20.894279,11.748432,11.912983
2018,IA,19,804641984,1232001664,125333,,158197,3156145,0,4,IA,3,IOWA,6420.0327,,20.931906,11.738729,11.971597
1980,KS,20,245700000,62200000,87216,2188422912,23869,2369039,0,1,KS,3,KANSAS,2817.1436,,17.945866,11.376143,10.080336
1981,KS,20,271000000,63800000,89991,2371976960,27049,2384853,0,1,KS,3,KANSAS,3011.4124,,17.971264,11.407465,10.205405
1982,KS,20,287200000,65800000,90814,2492728064,29327,2401207,0,1,KS,3,KANSAS,3162.5081,,18.002131,11.416569,10.286263
1983,KS,20,299300000,70000000,91735,2737318912,30540,2415529,0,1,KS,3,KANSAS,3262.6587,,18.064005,11.42666,10.326793
1984,KS,20,300700000,79800000,91689,3071962880,33518,2424088,0,1,KS,3,KANSAS,3279.5647,,18.195034,11.426158,10.419838
1985,KS,20,329100000,84000000,91022,3323863040,35255,2427401,0,1,KS,3,KANSAS,3615.6094,,18.246326,11.418857,10.470363
1986,KS,20,342500000,93400000,90246,3430332928,36959,2432614,0,1,KS,3,KANSAS,3795.1821,,18.352402,11.410295,10.517565
1987,KS,20,320700000,102600000,92617,3730288128,38648,2445367,0,1,KS,3,KANSAS,3462.6472,,18.446348,11.436228,10.56225
1988,KS,20,357500000,114800000,94748,4182286080,40704,2461995,0,1,KS,3,KANSAS,3773.1667,,18.558702,11.458976,10.614081
1989,KS,20,383400000,124600000,98843,4315826176,43110,2472838,0,1,KS,3,KANSAS,3878.8787,,18.640619,11.501288,10.671511
1990,KS,20,430200000,132300000,102656,4578438144,45751,2481349,0,2,KS,3,KANSAS,4190.6953,,18.700583,11.539139,10.730968
1991,KS,20,446000000,144600000,104681,4815073792,47310,2498722,0,2,KS,3,KANSAS,4260.563,,18.789482,11.558673,10.764477
1992,KS,20,446100000,161000000,107093,4973413888,50940,2532394,0,2,KS,3,KANSAS,4165.5386,,18.896915,11.581453,10.838404
1993,KS,20,462500000,179200000,108476,5373683200,53312,2556547,0,2,KS,3,KANSAS,4263.6157,,19.004013,11.594284,10.883917
1994,KS,20,479300000,192300000,107521,5900338176,55736,2580513,0,2,KS,3,KANSAS,4457.7339,,19.074568,11.585442,10.928382
1995,KS,20,503600000,203900000,106334,6077324800,58129,2601007,0,2,KS,3,KANSAS,4736.0205,,19.133141,11.574341,10.97042
1996,KS,20,518900000,214700000,105827,6372806144,61934,2614554,0,2,KS,3,KANSAS,4903.2856,,19.184752,11.569561,11.033825
1997,KS,20,525500000,224700000,100292,6762662912,65771,2635292,0,2,KS,3,KANSAS,5239.7002,,19.230276,11.515841,11.093934
1998,KS,20,560600000,234500000,100435,7375178752,69809,2660598,0,2,KS,3,KANSAS,5581.7197,,19.272966,11.517266,11.153519
1999,KS,20,594200000,243000000,105020,7292433920,72144,2678338,0,2,KS,3,KANSAS,5657.9697,,19.308573,11.561906,11.186419
2000,KS,20,650059008,246367680,99430,7616352768,76079,2693681,0,3,KS,3,KANSAS,6537.856,,19.322336,11.507209,11.239528
2001,KS,20,683084032,256982656,100476,7882598400,78574,2702162,0,3,KS,3,KANSAS,6798.4795,,19.364519,11.517674,11.271796
2002,KS,20,712131072,273799520,104341,7974974976,79240,2713535,0,3,KS,3,KANSAS,6825.0361,,19.427906,11.55542,11.280236
2003,KS,20,679829568,313852096,109045,8044284928,81486,2723004,0,3,KS,3,KANSAS,6234.3945,,19.564432,11.599516,11.308187
2004,KS,20,685832000,366428992,110243,9241972736,83847,2734373,0,3,KS,3,KANSAS,6221.0933,,19.719315,11.610442,11.336749
2005,KS,20,727534336,420796800,111948,9385495552,88707,2745299,0,3,KS,3,KANSAS,6498.8594,,19.85766,11.62579,11.393094
2006,KS,20,773953536,460343136,127645,10451864576,97938,2762931,0,3,KS,3,KANSAS,6063.3281,,19.947483,11.757009,11.49209
2007,KS,20,788720640,518603616,127245,11354317824,105257,2783785,0,3,KS,3,KANSAS,6198.4409,,20.06665,11.75387,11.56416
2008,KS,20,825697856,515447104,127940,11877314560,114543,2808076,0,3,KS,3,KANSAS,6453.7896,,20.060545,11.759316,11.648705
2009,KS,20,815609472,581970560,130930,11471073280,110724,2832704,0,3,KS,3,KANSAS,6229.355,,20.181931,11.782418,11.614796
2010,KS,20,793700800,641365760,138240,11414647808,113077,2858213,0,4,KS,3,KANSAS,5741.4697,,20.27911,11.836746,11.635824
2011,KS,20,795182336,698588800,141031,11756881920,122562,2869035,0,4,KS,3,KANSAS,5638.3516,,20.364573,11.856735,11.716372
2012,KS,20,752992896,743939776,141354,12507618304,130182,2885361,0,4,KS,3,KANSAS,5327.001,,20.427471,11.859023,11.776689
2013,KS,20,795346368,760209792,140182,12902577152,132979,2893510,0,4,KS,3,KANSAS,5673.6699,,20.449104,11.850697,11.797947
2014,KS,20,771121344,795202304,138310,12706184192,135976,2900896,0,4,KS,3,KANSAS,5575.3115,,20.494106,11.837253,11.820233
2015,KS,20,803124160,827665728,137035,12769987584,137868,2909502,0,4,KS,3,KANSAS,5860.7227,,20.534121,11.827991,11.834052
2016,KS,20,766842496,845375680,135366,13077706752,138315,2911263,0,4,KS,3,KANSAS,5664.9565,,20.555292,11.815738,11.837289
2017,KS,20,769175104,868449728,134716,13515300864,142242,2910689,0,4,KS,3,KANSAS,5709.6045,,20.58222,11.810925,11.865285
2018,KS,20,772091200,865619328,133815,,149859,2911505,0,4,KS,3,KANSAS,5769.8403,,20.578957,11.804214,11.91745
1980,KY,21,298900000,56100000,89389,2709344000,29872,3664221,0,1,KY,1,KENTUCKY,3343.8118,0,17.842646,11.400753,10.304677
1981,KY,21,303400000,64600000,93863,2883950080,33238,3670395,0,1,KY,1,KENTUCKY,3232.3706,0,17.983725,11.449592,10.411449
1982,KY,21,332800000,72800000,93790,3136684032,35402,3683449,0,1,KY,1,KENTUCKY,3548.3528,0,18.103226,11.448813,10.474524
1983,KY,21,361200000,83300000,93637,3298855936,36755,3694469,0,1,KY,1,KENTUCKY,3857.4495,0,18.237959,11.447181,10.51203
1984,KY,21,393800000,92400000,91516,3554245120,41062,3695459,0,1,KY,1,KENTUCKY,4303.0728,0,18.341637,11.424269,10.622838
1985,KY,21,403800000,98000000,88359,3850354944,42816,3694816,0,1,KY,1,KENTUCKY,4569.9927,0,18.400478,11.389163,10.664667
1986,KY,21,425100000,106700000,87225,4113615872,44019,3687805,0,1,KY,1,KENTUCKY,4873.6025,0,18.485531,11.376246,10.692377
1987,KY,21,452800000,110000000,90483,4515896832,46497,3683330,0,1,KY,1,KENTUCKY,5004.2549,0,18.515991,11.412917,10.747143
1988,KY,21,488400000,123000000,95408,4737014784,50573,3680002,0,1,KY,1,KENTUCKY,5119.0674,0,18.627695,11.465918,10.831173
1989,KY,21,510400000,137700000,101157,5209428992,54364,3677318,0,1,KY,1,KENTUCKY,5045.6221,0,18.740587,11.524429,10.903458
1990,KY,21,539699968,141300000,108245,5511001088,57673,3694048,0,2,KY,1,KENTUCKY,4985.9111,0,18.766396,11.592153,10.962544
1991,KY,21,600600000,148700000,114792,6420661248,60843,3722328,0,2,KY,1,KENTUCKY,5232.0718,0,18.817442,11.650877,11.016052
1992,KY,21,634000000,185300000,129791,6599606784,65547,3765469,0,2,KY,1,KENTUCKY,4884.7764,0,19.037487,11.773681,11.090523
1993,KY,21,601000000,197400000,121414,6890746880,68128,3812206,0,2,KY,1,KENTUCKY,4950.0059,0,19.100742,11.706962,11.129144
1994,KY,21,621500032,199800000,119818,7385874944,71608,3849088,0,2,KY,1,KENTUCKY,5187.0337,0,19.112827,11.693729,11.178962
1995,KY,21,648300032,208600000,117386,8108993024,75054,3887427,0,2,KY,1,KENTUCKY,5522.8052,0,19.15593,11.673223,11.225964
1996,KY,21,649800000,254700000,115839,8413338112,79621,3919535,0,2,KY,1,KENTUCKY,5609.5098,0,19.355597,11.659957,11.285033
1997,KY,21,699500032,259800000,114390,8895687680,84542,3952747,0,2,KY,1,KENTUCKY,6115.0454,0,19.375423,11.647369,11.345004
1998,KY,21,760000000,267200000,113583,9355334656,89546,3985390,0,2,KY,1,KENTUCKY,6691.1421,0,19.403507,11.640289,11.402508
1999,KY,21,880600000,294880512,114359,9760823296,93441,4018053,0,2,KY,1,KENTUCKY,7700.312,0,19.502081,11.647098,11.445086
2000,KY,21,925505984,329832512,113568,10172413952,100797,4049021,0,3,KY,1,KENTUCKY,8149.3555,0,19.614096,11.640157,11.520864
2001,KY,21,1001625024,354995904,119500,10372712448,104182,4068132,0,3,KY,1,KENTUCKY,8381.7998,0,19.687616,11.691072,11.553895
2002,KY,21,1084605952,377010208,131313,10780756992,106571,4089875,0,3,KY,1,KENTUCKY,8259.7002,0,19.747784,11.785339,11.576567
2003,KY,21,1068764992,406867200,141005,11093437440,109617,4117170,0,3,KY,1,KENTUCKY,7579.625,0,19.823997,11.85655,11.604748
