fy,state_abbrev,fips,y,x1,x2,x3,x4,x5,MD,decade,state,region_compact,state_name,yfte,MDSREB,lnnetut,lnfte,lnperinc
1986,AK,2,167800000,17800000,13965,2396877056,11066,544269,0,1,AK,2,ALASKA,12015.754,,16.69471,9.5443096,9.3116322
1987,AK,2,144100000,18700000,14894,1659421952,10618,539310,0,1,AK,2,ALASKA,9675.0371,,16.744034,9.6087141,9.2703056
1988,AK,2,146500000,20400000,14349,1888852992,11068,541984,0,1,AK,2,ALASKA,10209.771,,16.831045,9.5714359,9.3118134
1989,AK,2,154200000,20600000,15063,2067480960,12111,547160,0,1,AK,2,ALASKA,10237.005,,16.840801,9.619997,9.4018698
1990,AK,2,161000000,23100000,15213,2237760000,12843,553290,0,2,AK,2,ALASKA,10583.054,,16.955343,9.6299057,9.4605541
1991,AK,2,170400000,27200000,17058,2514501120,13405,570193,0,2,AK,2,ALASKA,9989.4482,,17.118727,9.7443743,9.5033827
1992,AK,2,172700000,30500000,17611,2284801024,14271,588736,0,2,AK,2,ALASKA,9806.3711,,17.233236,9.7762794,9.5659847
1993,AK,2,171000000,29800000,18033,2952667904,15007,599432,0,2,AK,2,ALASKA,9482.6152,,17.210018,9.7999582,9.616272
1994,AK,2,175100000,32800000,17962,1954150016,15513,603308,0,2,AK,2,ALASKA,9748.3574,,17.305939,9.7960138,9.6494341
1995,AK,2,172600000,35100000,17934,2693829888,15956,604412,0,2,AK,2,ALASKA,9624.1777,,17.373713,9.7944536,9.6775904
1996,AK,2,171600000,36400000,17434,2301361920,16403,608569,0,2,AK,2,ALASKA,9842.8359,,17.41008,9.7661772,9.7052193
1997,AK,2,170300000,38800000,17216,2411597056,17277,612968,0,2,AK,2,ALASKA,9891.9609,,17.47393,9.7535944,9.7571316
1998,AK,2,167500000,46183076,16840,2013460992,18115,619932,0,2,AK,2,ALASKA,9946.5557,,17.648125,9.7315121,9.8044958
1999,AK,2,168900000,45408072,16214,1761608960,18676,624779,0,2,AK,2,ALASKA,10416.924,,17.631201,9.6936302,9.8349943
2000,AK,2,174974096,44203184,15968,2311801088,20079,627963,0,3,AK,2,ALASKA,10957.797,,17.604307,9.6783419,9.9074297
2001,AK,2,192093904,43042408,16078.69,2508728064,21240,633714,0,3,AK,2,ALASKA,11947.111,,17.577696,9.6852503,9.9636412
2002,AK,2,202852864,46150612,16706.09,2069907968,22247,642337,0,3,AK,2,ALASKA,12142.45,,17.647421,9.7235289,10.009962
2003,AK,2,212658880,51276276,17974.33,2042514304,23240,648414,0,3,AK,2,ALASKA,11831.255,,17.752739,9.7966995,10.05363
2004,AK,2,217143248,57487252,18802.131,2375631104,24338,659286,0,3,AK,2,ALASKA,11548.864,,17.867073,9.8417253,10.099794
2005,AK,2,232956432,65171760,18719.59,2947034112,25957,666946,0,3,AK,2,ALASKA,12444.526,,17.992537,9.837326,10.164197
2006,AK,2,253089616,73347352,18794.51,3664728064,27727,675302,0,3,AK,2,ALASKA,13466.146,,18.110718,9.84132,10.230162
