endyear,opeid5_new,lneg,lnstatea,lntuition,lntotfteiarep,lnftfac,lnptfac
2009,1089,17.468813,17.307228,16.891928,8.8338995,5.7004437,4.8751974
2010,1089,17.634691,17.288519,16.93218,8.9770203,5.7071104,5.0498562
2011,1089,17.718082,17.310841,16.9659,9.049819,5.7071104,5.1239638
2012,1089,17.79921,17.346668,17.121258,9.094593,5.771441,5.2470241
2013,1089,17.854303,17.34115,17.163944,9.1093035,5.8464389,5.3132062
2004,1098,16.781658,16.650759,15.618758,8.0542049,5.0562458,4.1271343
2005,1098,16.77586,16.674543,15.69922,7.3382382,5.0625949,4.1431346
2006,1098,16.87118,16.711443,15.78801,7.3889461,5.0875964,4.0430512
2008,1098,17.067432,16.814772,16.060734,8.0077,5.0875964,4.3307333
2009,1098,17.124704,16.819366,16.115837,8.1429358,5.1298985,4.4067192
2010,1098,16.997221,16.801943,15.99121,8.1362257,5.1647859,4.4188404
2012,1098,17.23855,16.817587,16.097593,8.1814404,5.1474943,4.3820267
2013,1098,17.222191,16.818678,16.142242,8.1687698,5.1590552,4.4543471
2004,1137,18.917196,18.822992,18.228586,10.123065,6.652863,6.7580943
2006,1137,18.980061,18.787563,18.439001,10.239102,6.6450911,6.9744787
2008,1137,19.379675,18.975903,18.555992,10.291468,6.8068295,6.9975958
2009,1137,19.345921,18.652056,18.506535,10.313973,6.7889719,6.8731637
2010,1137,19.239758,18.709658,18.706203,10.229981,6.7661915,6.6187391
2011,1137,19.40621,18.832989,18.814781,10.224194,6.7440591,6.7250338
2012,1137,19.413677,18.474445,18.952738,10.253122,6.7810578,6.8627577
2013,1137,19.471451,18.507578,18.96628,10.273256,6.7934661,6.9275579
2004,1138,18.361418,18.239206,17.589231,9.3928289,5.811141,6.0707378
2006,1138,18.401386,18.184732,17.715971,9.3770409,5.7838254,6.0354815
2008,1138,18.680979,18.299578,17.787525,9.4308405,5.866468,6.0799332
2009,1138,18.712511,17.992462,17.897955,9.5190744,5.9242558,6.1047931
2010,1138,18.530483,18.018993,18.095388,9.5027113,5.872118,5.9269261
2011,1138,18.586374,18.094444,18.098,9.3312302,5.7930136,5.7037826
