fy,state_abbrev,fips,State,lny1,lnx1,lnx2,lnx3,lnx4
1992,MT,30,MONTANA,4.7535901,3.5582011,10.263467,9.4876919,9.537858
1993,MT,30,MONTANA,4.6904302,3.8286414,10.285684,9.5478125,9.6115904
1994,MT,30,MONTANA,4.6653242,4.0395365,10.298903,9.6266403,9.6837387
1995,MT,30,MONTANA,4.7423201,4.1805224,10.376238,9.6540833,9.7446146
1996,MT,30,MONTANA,4.7335634,4.3425059,10.384987,9.7060061,9.7710581
1997,MT,30,MONTANA,4.7638817,4.434382,10.407439,9.7528563,9.8046999
1998,MT,30,MONTANA,4.7655869,4.5261269,10.417239,9.7947378,9.868228
1999,MT,30,MONTANA,4.7899885,4.5649848,10.420643,9.8617382,9.9254885
2000,MT,30,MONTANA,4.8375263,4.5917826,10.421626,9.8828869,9.9441452
2001,MT,30,MONTANA,4.8667259,4.5827675,10.424066,9.9461594,9.9935656
2002,MT,30,MONTANA,4.9162092,4.6655641,10.443862,9.987525,10.03678
2003,MT,30,MONTANA,4.8692207,4.8542576,10.462389,10.015024,10.080817
2004,MT,30,MONTANA,4.9025211,4.9070377,10.485284,10.085013,10.151815
2005,MT,30,MONTANA,4.909771,4.9947062,10.470476,10.164617,10.237786
2006,MT,30,MONTANA,5.0392852,5.0702863,10.475286,10.239982,10.326455
2007,MT,30,MONTANA,5.0216079,5.1378183,10.47144,10.322273,10.40224
2008,MT,30,MONTANA,5.1684036,5.1513686,10.478865,10.395638,10.493331
2009,MT,30,MONTANA,5.2206569,5.2030149,10.501994,10.446434,10.51495
2010,MT,30,MONTANA,5.2418728,5.2792339,10.568981,10.425594,10.490827
2011,MT,30,MONTANA,5.2514238,5.3565049,10.620376,10.479028,10.546778
2012,MT,30,MONTANA,5.2067199,5.3942704,10.617589,10.547384,10.611013
2013,MT,30,MONTANA,5.2048397,5.4292994,10.600851,10.608341,10.645563
2014,MT,30,MONTANA,5.3031793,5.4651966,10.583651,10.614494,10.672229
2015,MT,30,MONTANA,5.3606296,5.4799962,10.564422,10.664702,10.703148
2016,MT,30,MONTANA,5.3760996,5.4900751,10.54413,10.710655,10.739715
2017,MT,30,MONTANA,5.3914757,5.5315738,10.547339,10.725641,10.724542
1991,NE,31,NEBRASKA,5.5404787,4.4426513,11.095605,10.283303,10.42627
1992,NE,31,NEBRASKA,5.5579858,4.5347476,11.127733,10.319065,10.480474
1993,NE,31,NEBRASKA,5.6304946,4.5900564,11.150965,10.379983,10.550947
1994,NE,31,NEBRASKA,5.6605268,4.6558633,11.133142,10.412968,10.580338
1995,NE,31,NEBRASKA,5.6984348,4.7122293,11.116024,10.475348,10.680615
1996,NE,31,NEBRASKA,5.7378616,4.7647347,11.104807,10.530398,10.716888
1997,NE,31,NEBRASKA,5.7442846,4.7924795,11.073226,10.616195,10.799716
1998,NE,31,NEBRASKA,5.7893481,4.9357409,11.073505,10.645842,10.817495
1999,NE,31,NEBRASKA,5.8641992,5.00457,11.075706,10.71132,10.855711
2000,NE,31,NEBRASKA,5.8114405,5.0620008,11.079987,10.757238,10.890969
2001,NE,31,NEBRASKA,5.8447032,5.1278133,11.093235,10.814476,10.942061
2002,NE,31,NEBRASKA,5.9615207,5.2213645,11.12259,10.858266,10.993176
2003,NE,31,NEBRASKA,5.99441,5.2962074,11.137096,10.873654,11.028488
2004,NE,31,NEBRASKA,5.9621549,5.4592171,11.174792,10.933542,11.103687
2005,NE,31,NEBRASKA,6.0478787,5.4516749,11.183476,10.978531,11.160368
2006,NE,31,NEBRASKA,6.2261314,5.5555458,11.193023,11.015182,11.211267
2007,NE,31,NEBRASKA,6.2984734,5.4935222,11.211009,11.060121,11.266385
2008,NE,31,NEBRASKA,6.3083363,5.651402,11.231238,11.134094,11.328074
2009,NE,31,NEBRASKA,6.3948712,5.7291031,11.262218,11.188025,11.352764
2010,NE,31,NEBRASKA,6.4074416,5.66608,11.329075,11.172875,11.371711
2011,NE,31,NEBRASKA,6.4291973,5.9539652,11.343133,11.223431,11.427507
2012,NE,31,NEBRASKA,6.3673401,6.0254498,11.336916,11.333961,11.509052
2013,NE,31,NEBRASKA,6.4076509,6.0549736,11.304362,11.365512,11.535362
2014,NE,31,NEBRASKA,6.4515429,6.092824,11.286075,11.372673,11.586216
2015,NE,31,NEBRASKA,6.5090041,6.0869031,11.270459,11.429533,11.618741
2016,NE,31,NEBRASKA,6.5579247,6.1334386,11.244287,11.468842,11.655536
2017,NE,31,NEBRASKA,6.5697441,6.1524453,11.250248,11.458795,11.663014
1991,NV,32,NEVADA,4.956531,3.6863763,10.329409,10.128362,10.341097
1992,NV,32,NEVADA,5.1287146,3.4275148,10.420613,10.222498,10.397745
1993,NV,32,NEVADA,5.2127595,3.6027768,10.466839,10.324803,10.492706
1994,NV,32,NEVADA,5.1422482,3.6609943,10.453688,10.403232,10.597611
1995,NV,32,NEVADA,5.151556,3.7400477,10.460328,10.50467,10.71825
1996,NV,32,NEVADA,5.2978172,3.7256935,10.507366,10.600086,10.80465
1997,NV,32,NEVADA,5.3678436,4.1108737,10.58661,10.701785,10.904461
1998,NV,32,NEVADA,5.5888195,4.2186866,10.645735,10.790817,11.011941
1999,NV,32,NEVADA,5.57692,4.3244205,10.696458,10.901936,11.086977
2000,NV,32,NEVADA,5.6342149,4.4385428,10.753831,10.978615,11.17794
2001,NV,32,NEVADA,5.6528659,4.5110826,10.781183,11.071931,11.246706
2002,NV,32,NEVADA,5.7407379,4.6034327,10.818838,11.125237,11.2951
2003,NV,32,NEVADA,5.769578,4.7129178,10.897425,11.150904,11.347266
2004,NV,32,NEVADA,6.0670958,4.7853971,10.954641,11.214549,11.416181
2005,NV,32,NEVADA,6.116425,4.8931074,10.997857,11.320568,11.556182
2006,NV,32,NEVADA,6.2049704,4.9528685,11.017776,11.436812,11.677219
2007,NV,32,NEVADA,6.2666678,4.9755492,11.023911,11.516755,11.756465
2008,NV,32,NEVADA,6.3108649,5.0769792,11.05602,11.55756,11.78752
2009,NV,32,NEVADA,6.3164721,5.1855035,11.092321,11.5404,11.770451
2010,NV,32,NEVADA,6.2470202,5.263608,11.138945,11.481008,11.704451
2011,NV,32,NEVADA,6.193924,5.3710661,11.144308,11.518965,11.724791
2012,NV,32,NEVADA,6.0300317,5.4542899,11.085797,11.557702,11.749239
2013,NV,32,NEVADA,6.0424156,5.4913068,11.096151,11.597497,11.760121
2014,NV,32,NEVADA,6.0641441,5.5323515,11.074374,11.599608,11.780058
2015,NV,32,NEVADA,6.0677199,5.5914116,11.111313,11.669461,11.814164
2016,NV,32,NEVADA,6.1537337,5.6529059,11.141268,11.74727,11.879181
2017,NV,32,NEVADA,6.1881247,5.7034392,11.143368,11.785194,11.926458
1991,NH,33,NEW HAMPSHIRE,4.2484951,4.5559797,10.171987,10.043532,10.076087
1992,NH,33,NEW HAMPSHIRE,4.2682977,4.714921,10.226006,10.077117,10.117089
1993,NH,33,NEW HAMPSHIRE,4.2527719,4.8081112,10.255271,10.125359,10.178533
1994,NH,33,NEW HAMPSHIRE,4.3307333,4.8721395,10.265314,10.157614,10.216914
1995,NH,33,NEW HAMPSHIRE,4.3907385,4.934474,10.255271,10.222752,10.281585
1996,NH,33,NEW HAMPSHIRE,4.3669128,5.0751739,10.235055,10.28202,10.369593
1997,NH,33,NEW HAMPSHIRE,4.4391155,5.1298985,10.235055,10.339853,10.45047
1998,NH,33,NEW HAMPSHIRE,4.4391155,5.1647859,10.204592,10.412532,10.550981
1999,NH,33,NEW HAMPSHIRE,4.4727812,5.1817837,10.204259,10.505933,10.610483
2000,NH,33,NEW HAMPSHIRE,4.5674682,5.1885023,10.270281,10.57028,10.642564
2001,NH,33,NEW HAMPSHIRE,4.6302938,5.2652774,10.185126,10.688922,10.719417
2002,NH,33,NEW HAMPSHIRE,4.5017881,5.3239851,10.220304,10.740597,10.749993
2003,NH,33,NEW HAMPSHIRE,4.5361867,5.1089983,10.242386,10.75906,10.792993
2004,NH,33,NEW HAMPSHIRE,4.5956826,5.0606499,10.325318,10.779804,10.846973
2005,NH,33,NEW HAMPSHIRE,4.6229787,5.304522,10.338026,10.8384,10.899083
2006,NH,33,NEW HAMPSHIRE,4.6355405,5.3766513,10.364702,10.875758,10.939375
2007,NH,33,NEW HAMPSHIRE,4.6834235,5.5496817,10.376362,10.943512,10.992245
2008,NH,33,NEW HAMPSHIRE,4.7615685,5.6350818,10.403717,10.979024,11.014237
2009,NH,33,NEW HAMPSHIRE,4.8018608,5.6912131,10.443221,11.004248,11.017296
2010,NH,33,NEW HAMPSHIRE,4.8512292,5.7952857,10.575692,10.98669,11.033879
2011,NH,33,NEW HAMPSHIRE,4.7969484,5.8777237,10.57224,11.028492,11.069004
2012,NH,33,NEW HAMPSHIRE,4.2728949,5.9658327,10.573853,11.07581,11.088744
2013,NH,33,NEW HAMPSHIRE,4.3038392,6.031168,10.577044,11.12031,11.122682
2014,NH,33,NEW HAMPSHIRE,4.5784249,6.0080709,10.518349,11.117219,11.158846
2015,NH,33,NEW HAMPSHIRE,4.7201605,6.0489135,10.55576,11.159463,11.189134
2016,NH,33,NEW HAMPSHIRE,4.720726,6.0326409,10.508896,11.20112,11.238927
2017,NH,33,NEW HAMPSHIRE,4.7265167,6.0412025,10.549438,11.236073,11.270573
1991,NJ,34,NEW JERSEY,6.8910165,5.8774557,12.009851,12.166101,12.275398
1992,NJ,34,NEW JERSEY,6.9498258,5.9991846,12.043941,12.18553,12.31005
1993,NJ,34,NEW JERSEY,6.9983439,6.0623889,12.04669,12.257289,12.349196
1994,NJ,34,NEW JERSEY,7.0502324,6.0876832,12.027992,12.290396,12.390016
1995,NJ,34,NEW JERSEY,7.0586042,6.2110014,12.030397,12.325119,12.435487
1996,NJ,34,NEW JERSEY,7.1247702,6.2886019,12.018224,12.384909,12.481688
1997,NJ,34,NEW JERSEY,7.1469598,6.3618627,12.011784,12.441391,12.536063
1998,NJ,34,NEW JERSEY,7.1334367,6.4153314,12.021482,12.504717,12.637516
1999,NJ,34,NEW JERSEY,7.1971893,6.4359498,12.03879,12.568088,12.675908
2000,NJ,34,NEW JERSEY,7.2456045,6.511086,12.052706,12.614383,12.726799
2001,NJ,34,NEW JERSEY,7.1980987,6.7595487,12.093302,12.709744,12.799418
2002,NJ,34,NEW JERSEY,7.2515655,6.8244433,12.14865,12.743455,12.831357
2003,NJ,34,NEW JERSEY,7.3656573,6.9604859,12.179965,12.758395,12.869631
2004,NJ,34,NEW JERSEY,7.3947954,7.064641,12.214814,12.78357,12.912132
2005,NJ,34,NEW JERSEY,7.4643269,7.1392078,12.332569,12.829544,12.954865
2006,NJ,34,NEW JERSEY,7.5270753,7.2157941,12.337452,12.867194,12.996287
2007,NJ,34,NEW JERSEY,7.5100121,7.2862196,12.345695,12.938178,13.048629
2008,NJ,34,NEW JERSEY,7.5468178,7.3783593,12.380194,12.994906,13.082664
2009,NJ,34,NEW JERSEY,7.5304193,7.5064349,12.41396,13.023689,13.112559
2010,NJ,34,NEW JERSEY,7.5580597,7.58042,12.498988,12.992455,13.095018
2011,NJ,34,NEW JERSEY,7.5906377,7.6822195,12.532303,13.022469,13.112614
2012,NJ,34,NEW JERSEY,7.5409398,7.7306504,12.538494,13.068995,13.120591
2013,NJ,34,NEW JERSEY,7.4742088,7.7498841,12.528344,13.105547,13.161095
2014,NJ,34,NEW JERSEY,7.5077205,7.839963,12.522127,13.115269,13.187564
2015,NJ,34,NEW JERSEY,7.5003242,7.9093213,12.506373,13.161736,13.211631
2016,NJ,34,NEW JERSEY,7.5353665,7.9206204,12.499846,13.2032,13.25283
2017,NJ,34,NEW JERSEY,7.5390182,7.9504557,12.491981,13.229315,13.27496
1991,NM,35,NEW MEXICO,5.7670703,3.3368113,11.051969,10.056265,10.188678
1992,NM,35,NEW MEXICO,5.8147273,3.4353819,11.109279,10.124112,10.318748
1993,NM,35,NEW MEXICO,5.8567896,3.5203559,11.138174,10.196261,10.393245
1994,NM,35,NEW MEXICO,5.9295893,3.7666409,11.171576,10.269072,10.515319
1995,NM,35,NEW MEXICO,6.0270729,3.871279,11.135625,10.334371,10.637885
1996,NM,35,NEW MEXICO,6.0910835,3.8564718,11.16959,10.4064,10.648892
1997,NM,35,NEW MEXICO,5.9733005,3.8345976,11.047837,10.455685,10.703965
1998,NM,35,NEW MEXICO,5.966403,3.7635357,11.12123,10.505615,10.86878
1999,NM,35,NEW MEXICO,6.1727438,3.7469058,11.185699,10.554802,10.833332
2000,NM,35,NEW MEXICO,6.3089371,3.9666197,11.116573,10.578366,10.879797
2001,NM,35,NEW MEXICO,6.0618238,3.9825857,11.110162,10.653004,10.919314
2002,NM,35,NEW MEXICO,6.163063,4.0505261,11.135741,10.721334,10.93286
2003,NM,35,NEW MEXICO,6.4172821,4.0896602,11.236473,10.759816,10.969154
2004,NM,35,NEW MEXICO,6.4551749,4.4813852,11.285196,10.803592,11.049236
2005,NM,35,NEW MEXICO,6.4996486,4.5127368,11.279971,10.864071,11.152539
2006,NM,35,NEW MEXICO,6.606132,4.8298697,11.285335,10.930215,11.207543
2007,NM,35,NEW MEXICO,6.5640988,4.6522408,11.329291,11.001204,11.257079
2008,NM,35,NEW MEXICO,6.6538982,5.1309419,11.352792,11.057509,11.296916
2009,NM,35,NEW MEXICO,6.5597715,5.2582636,11.401435,11.116055,11.335283
2010,NM,35,NEW MEXICO,6.5457258,5.3183045,11.499931,11.107388,11.314687
2011,NM,35,NEW MEXICO,6.5252223,5.5390139,11.430391,11.145481,11.338444
2012,NM,35,NEW MEXICO,6.5858006,5.6482787,11.489851,11.19575,11.369344
2013,NM,35,NEW MEXICO,6.6232328,5.6969171,11.525239,11.219606,11.380554
2014,NM,35,NEW MEXICO,6.6471801,5.7466536,11.499131,11.203847,11.389754
2015,NM,35,NEW MEXICO,6.7891021,5.7382121,11.473248,11.260898,11.434755
2016,NM,35,NEW MEXICO,6.8023086,5.6311731,11.444422,11.28945,11.418274
2017,NM,35,NEW MEXICO,6.7509723,5.6658168,11.396616,11.305316,11.419094
1991,NY,36,NEW YORK,7.7442231,6.3724661,12.989792,12.976916,13.108654
1992,NY,36,NEW YORK,7.7448297,6.6287026,12.983912,12.977436,13.117022
1993,NY,36,NEW YORK,7.7327638,6.7711334,12.996149,13.033032,13.161015
1994,NY,36,NEW YORK,7.7829323,6.7861524,13.000715,13.060603,13.194692
1995,NY,36,NEW YORK,7.8271613,6.7714772,13.001977,13.091349,13.227303
1996,NY,36,NEW YORK,7.7118621,7.0100412,12.975433,13.143769,13.275352
1997,NY,36,NEW YORK,7.7111011,7.0291762,12.962084,13.195394,13.337722
1998,NY,36,NEW YORK,7.7285919,7.0253606,12.986305,13.249799,13.484674
1999,NY,36,NEW YORK,8.1501036,7.140058,13.003787,13.305686,13.52144
2000,NY,36,NEW YORK,7.9406452,7.1331878,12.953781,13.362695,13.584487
2001,NY,36,NEW YORK,8.030201,7.165534,13.021116,13.436576,13.639561
2002,NY,36,NEW YORK,8.0705118,7.204721,13.053798,13.472692,13.684432
2003,NY,36,NEW YORK,8.1159821,7.254746,13.089046,13.470554,13.695367
2004,NY,36,NEW YORK,8.0510406,7.4838095,13.101532,13.484669,13.716001
2005,NY,36,NEW YORK,8.1609516,7.4856524,13.118298,13.529487,13.769668
2006,NY,36,NEW YORK,8.2585258,7.5106158,13.122727,13.570394,13.830445
2007,NY,36,NEW YORK,8.37111,7.5492353,13.140024,13.64593,13.88447
2008,NY,36,NEW YORK,8.4406195,7.5946379,13.174079,13.720293,13.918876
2009,NY,36,NEW YORK,8.4722357,7.6763306,13.213748,13.741327,13.910125
2010,NY,36,NEW YORK,8.5078154,7.7787075,13.257515,13.724249,13.957715
2011,NY,36,NEW YORK,8.546876,7.8161345,13.268764,13.76429,14.009388
2012,NY,36,NEW YORK,8.4717484,7.8764973,13.265833,13.819633,14.027441
2013,NY,36,NEW YORK,8.5234966,7.9356399,13.256357,13.870634,14.094995
2014,NY,36,NEW YORK,8.5671053,7.9973383,13.245852,13.882754,14.119741
2015,NY,36,NEW YORK,8.6100092,8.0498867,13.246764,13.924681,14.171432
2016,NY,36,NEW YORK,8.6288376,8.1087408,13.2287,13.966343,14.212778
2017,NY,36,NEW YORK,8.6712809,8.1132946,13.217579,13.99997,14.247005
1991,NC,37,NORTH CAROLINA,7.0508161,5.4085159,12.321627,11.665839,11.846954
1992,NC,37,NORTH CAROLINA,7.0031562,5.5834961,12.368166,11.710901,11.893876
1993,NC,37,NORTH CAROLINA,7.1101246,5.7097645,12.388581,11.795657,11.978777
1994,NC,37,NORTH CAROLINA,7.1705809,5.7661309,12.386008,11.85976,12.031754
1995,NC,37,NORTH CAROLINA,7.2337441,5.8473053,12.384398,11.922267,12.107841
1996,NC,37,NORTH CAROLINA,7.2467246,5.8726811,12.385552,11.992178,12.172861
1997,NC,37,NORTH CAROLINA,7.3263998,5.9555783,12.3847,12.059987,12.224968
1998,NC,37,NORTH CAROLINA,7.409863,5.9271927,12.393278,12.131823,12.362753
1999,NC,37,NORTH CAROLINA,7.4815559,5.971262,12.445267,12.19993,12.41271
2000,NC,37,NORTH CAROLINA,7.5317049,6.0662427,12.465772,12.248987,12.483945
2001,NC,37,NORTH CAROLINA,7.5880151,6.1341419,12.500937,12.312974,12.527047
2002,NC,37,NORTH CAROLINA,7.6103888,6.3123736,12.574172,12.340953,12.573086
2003,NC,37,NORTH CAROLINA,7.6416707,6.3691764,12.618709,12.355644,12.605218
2004,NC,37,NORTH CAROLINA,7.655045,6.5449343,12.660832,12.395145,12.642126
2005,NC,37,NORTH CAROLINA,7.7355113,6.6288958,12.733855,12.474726,12.700884
2006,NC,37,NORTH CAROLINA,7.8427677,6.7818117,12.732705,12.54623,12.772507
2007,NC,37,NORTH CAROLINA,7.974124,6.8127561,12.74856,12.631596,12.857153
2008,NC,37,NORTH CAROLINA,8.0710106,6.866158,12.787173,12.70536,12.890047
2009,NC,37,NORTH CAROLINA,8.0347157,6.8984809,12.863053,12.768109,12.932082
2010,NC,37,NORTH CAROLINA,8.0592546,6.960125,12.950284,12.731735,12.915283
2011,NC,37,NORTH CAROLINA,8.0695257,7.0438914,12.961676,12.741477,12.936531
2012,NC,37,NORTH CAROLINA,8.0323763,7.2304358,12.929626,12.780021,12.96502
2013,NC,37,NORTH CAROLINA,8.0851107,7.2983122,12.925428,12.84773,12.993554
2014,NC,37,NORTH CAROLINA,8.0507936,7.3659096,12.904702,12.837408,13.029199
2015,NC,37,NORTH CAROLINA,8.0642138,7.4011374,12.878992,12.894197,13.073162
2016,NC,37,NORTH CAROLINA,8.1116858,7.4694333,12.86959,12.947752,13.129595
2017,NC,37,NORTH CAROLINA,8.1397438,7.5077524,12.872886,12.978945,13.159894
1991,ND,38,NORTH DAKOTA,4.6596584,4.0360088,10.253827,9.2356768,9.350893
1992,ND,38,NORTH DAKOTA,4.7999144,4.0842943,10.346794,9.2484159,9.3666
1993,ND,38,NORTH DAKOTA,4.7883248,4.0621657,10.35679,9.3406401,9.4646883
1994,ND,38,NORTH DAKOTA,4.7774415,4.128746,10.327513,9.3542242,9.47649
1995,ND,38,NORTH DAKOTA,4.7510004,4.1743875,10.309186,9.4372845,9.5682802
1996,ND,38,NORTH DAKOTA,4.8097425,4.1743875,10.332702,9.4391165,9.6052094
1997,ND,38,NORTH DAKOTA,4.7916498,4.1588831,10.339062,9.5514946,9.7105703
1998,ND,38,NORTH DAKOTA,4.91852,4.1526136,10.300887,9.5303278,9.6633444
1999,ND,38,NORTH DAKOTA,4.9250774,4.2017031,10.297993,9.6227942,9.7286997
2000,ND,38,NORTH DAKOTA,4.9759488,4.2532377,10.317549,9.6374884,9.7400093
2001,ND,38,NORTH DAKOTA,4.9847231,4.5957866,10.371051,9.7209997,9.7967987
2002,ND,38,NORTH DAKOTA,5.0653992,4.5006714,10.41178,9.7388191,9.8479538
2003,ND,38,NORTH DAKOTA,5.0822511,4.6702852,10.453544,9.7612209,9.9138832
2004,ND,38,NORTH DAKOTA,5.0581512,4.9599056,10.472261,9.8450003,10.00231
2005,ND,38,NORTH DAKOTA,5.0648193,5.1416454,10.452447,9.8644552,10.050519
2006,ND,38,NORTH DAKOTA,5.1242719,5.2525702,10.442959,9.9223928,10.103047
2007,ND,38,NORTH DAKOTA,5.1288085,5.3277726,10.431317,9.9693413,10.170457
2008,ND,38,NORTH DAKOTA,5.2960153,5.3598599,10.461817,10.07266,10.263945
2009,ND,38,NORTH DAKOTA,5.2959466,5.4416189,10.502543,10.186981,10.364769
2010,ND,38,NORTH DAKOTA,5.5062313,5.4592767,10.53784,10.179652,10.373569
2011,ND,38,NORTH DAKOTA,5.5016913,5.4849234,10.543102,10.286864,10.47521
2012,ND,38,NORTH DAKOTA,5.5941811,5.546721,10.532176,10.400687,10.625689
2013,ND,38,NORTH DAKOTA,5.5918112,5.5754371,10.521965,10.567716,10.846325
2014,ND,38,NORTH DAKOTA,5.7716475,5.6051421,10.516698,10.567736,10.894547
2015,ND,38,NORTH DAKOTA,5.7725596,5.6230435,10.51328,10.63408,10.979342
2016,ND,38,NORTH DAKOTA,5.7357912,5.6545749,10.495847,10.611538,10.91531
2017,ND,38,NORTH DAKOTA,5.7773366,5.6923885,10.48411,10.587145,10.836303
1991,OH,39,OHIO,7.1288166,6.7028198,12.709774,12.22086,12.334522
1992,OH,39,OHIO,7.1001921,6.8338933,12.740022,12.243739,12.362971
1993,OH,39,OHIO,7.0668082,6.9080553,12.743849,12.306828,12.431811
1994,OH,39,OHIO,7.1320181,6.9161201,12.728399,12.347426,12.466942
1995,OH,39,OHIO,7.1933851,6.9561644,12.707623,12.402079,12.549396
1996,OH,39,OHIO,7.2554502,7.0003943,12.692101,12.449415,12.603298
1997,OH,39,OHIO,7.3650584,7.066855,12.6852,12.495555,12.647934
1998,OH,39,OHIO,7.4114327,7.0963936,12.682341,12.552527,12.746847
1999,OH,39,OHIO,7.4427361,7.0937319,12.703433,12.608981,12.798374
2000,OH,39,OHIO,7.5023026,7.1391592,12.715738,12.641739,12.837437
2001,OH,39,OHIO,7.5341506,7.1665759,12.728962,12.694048,12.876815
2002,OH,39,OHIO,7.4829473,7.275773,12.77584,12.720492,12.888216
2003,OH,39,OHIO,7.4768558,7.3529229,12.772914,12.735657,12.928699
2004,OH,39,OHIO,7.4891624,7.449964,12.796176,12.76457,12.959645
2005,OH,39,OHIO,7.4987001,7.5464773,12.850746,12.801928,13.007045
2006,OH,39,OHIO,7.5247965,7.6210217,12.803804,12.830514,13.051532
2007,OH,39,OHIO,7.5383787,7.7094483,12.812106,12.879416,13.07565
2008,OH,39,OHIO,7.5796266,7.7274532,12.837164,12.920232,13.104128
2009,OH,39,OHIO,7.6604748,7.7574558,12.877858,12.951366,13.113812
2010,OH,39,OHIO,7.6212649,7.8656349,13.011418,12.923054,13.082212
2011,OH,39,OHIO,7.6323676,7.9173236,13.040605,12.95287,13.116764
2012,OH,39,OHIO,7.4989128,7.9994593,12.95633,13.019247,13.171893
2013,OH,39,OHIO,7.4480033,8.0128603,12.901208,13.058914,13.200841
2014,OH,39,OHIO,7.4854875,8.0174456,12.903849,13.072703,13.237557
2015,OH,39,OHIO,7.6091666,8.0313568,12.883713,13.11447,13.293549
2016,OH,39,OHIO,7.6601105,8.036212,12.870761,13.152191,13.322479
2017,OH,39,OHIO,7.6895528,8.0424232,12.876054,13.169331,13.342037
1991,OK,40,OKLAHOMA,6.1125755,4.7824793,11.568266,10.841956,10.964828
1992,OK,40,OKLAHOMA,6.1996975,4.8911009,11.590904,10.871943,10.99595
1993,OK,40,OKLAHOMA,6.230875,4.9301481,11.645023,10.933712,11.038247
1994,OK,40,OKLAHOMA,6.2021308,5.0323968,11.656706,10.972447,11.090601
1995,OK,40,OKLAHOMA,6.1909299,5.2647605,11.648129,11.015641,11.130943
1996,OK,40,OKLAHOMA,6.2011175,5.3626995,11.620748,11.05764,11.168453
1997,OK,40,OKLAHOMA,6.4473057,4.6913481,11.675257,11.11577,11.242641
1998,OK,40,OKLAHOMA,6.4488893,4.7535901,11.679736,11.171487,11.278418
1999,OK,40,OKLAHOMA,6.4850931,4.6802778,11.699364,11.223714,11.304783
2000,OK,40,OKLAHOMA,6.5166831,4.5453415,11.687844,11.25045,11.33932
2001,OK,40,OKLAHOMA,6.5675168,5.2623725,11.704463,11.329459,11.416334
2002,OK,40,OKLAHOMA,6.5444336,4.9422398,11.763918,11.388347,11.480062
2003,OK,40,OKLAHOMA,6.5753064,5.4327793,11.759825,11.409834,11.50452
2004,OK,40,OKLAHOMA,6.4768271,5.668447,11.801055,11.454447,11.56403
2005,OK,40,OKLAHOMA,6.4998326,5.8313189,11.823523,11.530242,11.636458
2006,OK,40,OKLAHOMA,6.6344113,5.938385,11.812586,11.618306,11.73257
2007,OK,40,OKLAHOMA,6.7843432,5.9899635,11.791262,11.723782,11.828346
2008,OK,40,OKLAHOMA,6.8457675,6.0704932,11.78441,11.758723,11.883753
2009,OK,40,OKLAHOMA,6.8243327,6.1890035,11.752398,11.860097,11.980802
2010,OK,40,OKLAHOMA,6.9331627,6.197885,11.863751,11.785781,11.889555
2011,OK,40,OKLAHOMA,6.8968983,6.2999144,11.91953,11.830599,11.937613
2012,OK,40,OKLAHOMA,6.8019319,6.3834119,11.894903,11.904221,12.013916
2013,OK,40,OKLAHOMA,6.8031278,6.4682727,11.878527,11.972588,12.063839
2014,OK,40,OKLAHOMA,6.8156009,6.5358648,11.887251,12.020124,12.115154
2015,OK,40,OKLAHOMA,6.8200836,6.5780683,11.822695,12.081766,12.180874
2016,OK,40,OKLAHOMA,6.6937828,6.6235609,11.812734,12.061001,12.133162
2017,OK,40,OKLAHOMA,6.6274996,6.6993694,11.803219,12.010173,12.094656
1991,OR,41,OREGON,6.0737357,5.0408411,11.533492,10.857858,10.943156
1992,OR,41,OREGON,6.075346,5.2122145,11.535929,10.909149,10.99274
1993,OR,41,OREGON,6.1187577,5.2491269,11.539197,10.976389,11.057097
1994,OR,41,OREGON,6.0705066,5.3995194,11.48731,11.044374,11.147764
1995,OR,41,OREGON,6.102335,5.4731107,11.467112,11.112892,11.230471
1996,OR,41,OREGON,6.0711994,5.5861244,11.510181,11.186723,11.309017
1997,OR,41,OREGON,6.1205173,5.5898671,11.503269,11.262475,11.443644
1998,OR,41,OREGON,6.1727438,5.6094718,11.535059,11.322459,11.521772
1999,OR,41,OREGON,6.2361741,5.5991626,11.550943,11.37795,11.562777
2000,OR,41,OREGON,6.2891355,5.9086142,11.569967,11.417841,11.585677
2001,OR,41,OREGON,6.4319997,5.850637,11.617339,11.492259,11.672134
2002,OR,41,OREGON,6.4268384,5.9899178,11.696996,11.519885,11.672275
2003,OR,41,OREGON,6.4320564,6.1528735,11.742512,11.53228,11.705441
2004,OR,41,OREGON,6.3634596,6.2749023,11.751706,11.567108,11.753607
2005,OR,41,OREGON,6.3721709,6.3594823,11.752407,11.621808,11.822163
2006,OR,41,OREGON,6.4424849,6.3707604,11.747547,11.673458,11.875223
2007,OR,41,OREGON,6.4788632,6.4204545,11.736973,11.760921,11.952169
2008,OR,41,OREGON,6.5933747,6.4710236,11.772408,11.805741,11.992334
2009,OR,41,OREGON,6.6304312,6.4937987,11.860281,11.847223,12.014846
2010,OR,41,OREGON,6.6212916,6.6241298,11.98316,11.814009,11.986925
2011,OR,41,OREGON,6.6120524,6.8731661,12.033943,11.839478,12.00657
2012,OR,41,OREGON,6.4999866,6.9571118,12.01427,11.894318,12.047202
2013,OR,41,OREGON,6.5125256,7.0128279,11.988781,11.947357,12.06964
2014,OR,41,OREGON,6.5997043,7.1622982,11.953874,11.963855,12.097277
2015,OR,41,OREGON,6.6751685,7.1494427,11.912373,12.034149,12.148869
2016,OR,41,OREGON,6.8024669,7.1247773,11.878595,12.108965,12.221744
