STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL
10154,1,8,0.2565,4,-7,-7
10155,1,5,-0.9271,1,4,1
10156,1,8,1.9004,5,-7,3
10158,1,8,.9834000000000001,5,4,1
10159,2,8,0.0489,3,6,-8
10160,2,8,0.1032,4,6,1
10161,1,8,-0.8837,1,4,-7
10162,1,5,-0.9416,1,5,-7
10163,1,5,-0.0505,3,5,-7
10164,1,2,1.8024,5,4,2
10165,1,-9,-8,-8,5,-8
10166,1,8,1.0753,5,2,2
10167,1,8,0.3253,4,5,-8
10168,1,8,0.756,5,4,2
10169,1,8,0.1516,4,6,2
10170,1,2,0.3952,4,4,2
10171,2,8,.8110000000000001,5,4,1
10172,2,8,-1.3184,1,-8,-7
10173,2,8,2.2775,5,4,2
10175,1,2,0.1268,4,4,1
10176,2,8,-0.487,2,-8,-7
10177,1,8,0.0301,3,-8,-8
10178,2,8,0.4133,4,4,1
10179,2,2,-8,-8,-8,2
10180,2,6,0.9223,5,4,-7
10181,1,-9,-8,-8,-8,-8
10182,1,8,1.3703,5,-8,-8
10183,2,8,0.1878,4,4,1
10184,1,8,0.0462,3,5,1
10185,1,4,-8,-8,-8,-8
10186,2,2,-8,-8,-7,-7
10187,2,6,0.7085,5,-8,3
10189,2,2,-8,-8,4,1
10190,1,8,0.1626,4,-8,-7
10191,2,1,-0.281,3,-7,-7
10192,1,7,0.0027,3,4,1
10193,2,8,1.0269,5,4,2
10194,1,8,-0.0327,3,4,2
10195,1,6,1.0087,5,6,1
10196,2,-9,-8,-8,4,-7
10197,1,2,-8,-8,-8,-8
10199,1,5,0.1172,4,-7,-7
10200,1,8,-0.1942,3,-7,-7
10201,2,8,-0.29,3,-8,-8
10202,1,-9,-8,-8,-8,-8
10203,1,2,0.0776,4,-8,3
10204,1,5,-8,-8,-7,-4
10205,2,8,0.5788,5,4,2
10206,2,8,0.6767,5,-8,-4
10207,1,1,-0.4381,2,-8,1
10208,1,8,-0.2391,3,-7,-7
10209,1,5,-0.3711,2,-8,-7
10210,1,5,2.0292,5,4,1
10211,2,8,1.0961,5,6,1
10212,1,8,1.9172,5,4,2
10213,2,8,0.879,5,4,1
10214,1,6,-0.5442,2,5,1
10215,1,6,-0.6203,2,-8,-8
10216,1,8,0.1295,4,5,3
10217,2,5,-8,-8,4,1
10218,1,8,-0.1277,3,-8,1
10219,1,8,0.4431,4,5,1
10220,1,8,-0.9952,1,5,2
10221,1,6,0.1782,4,6,-8
10222,1,2,-0.5349,2,-8,-8
10223,2,8,0.2131,4,4,1
10224,1,8,0.5769,5,4,2
10226,2,1,0.8994,5,4,2
10227,2,3,0.2531,4,4,3
10228,2,8,-0.5007,2,5,-8
10229,2,8,1.3994,5,4,2
10230,1,5,0.7785,5,-7,-7
10231,2,4,-8,-8,4,-8
10232,1,8,-1.3419,1,4,1
10233,1,8,1.5235,5,4,2
10234,2,3,0.8559,5,4,2
10235,2,8,-0.2312,3,6,-7
10236,1,8,-0.4813,2,3,1
10237,1,-9,-8,-8,-8,1
10238,1,8,0.6733,5,-8,2
10239,2,5,-0.5089,2,5,-4
10240,1,5,-0.1403,3,-8,2
10241,1,8,0.8973,5,4,1
10242,2,5,-0.401,2,-8,-8
10246,2,5,-8,-8,-8,-8
10247,1,8,-0.2066,3,4,1
10248,2,5,-1.0134,1,-8,-7
10249,1,6,0.7983,5,4,2
10250,1,8,0.1271,4,-8,-8
10251,2,5,-0.0643,3,4,2
10252,2,6,.6195000000000001,5,4,1
10253,1,3,1.2556,5,4,1
10254,2,5,0.6675,5,5,2
10256,2,3,0.4329,4,4,-4
10257,2,8,0.5718,5,4,2
10258,1,8,0.0027,3,-7,-7
10259,2,8,0.0839,4,4,-8
10260,2,8,1.0476,5,3,-9
10261,2,6,-0.1181,3,-8,-8
10263,1,5,-1.2992,1,-7,-8
10264,2,2,-8,-8,4,1
10265,2,8,-0.0714,3,6,-7
10266,2,8,1.6415,5,4,3
10267,1,3,-0.317,3,-8,-7
10268,2,-9,-8,-8,6,-7
10270,1,3,-8,-8,-8,-8
10271,2,8,1.6922,5,-8,-8
10272,1,8,1.0189,5,4,1
10273,1,8,1.3209,5,5,2
10274,2,8,0.3842,4,4,2
