academicyr,unitid,cc2010,grantlow
2010,179548,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,217402,18. Master's L: Master's Colleges and Universities (larger programs),
2010,204468,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,177162,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,196413,16. RU/H: Research Universities (high research activity),
2010,156356,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,114813,19. Master's M: Master's Colleges and Universities (medium programs),
2010,165699,19. Master's M: Master's Colleges and Universities (medium programs),
2010,159656,18. Master's L: Master's Colleges and Universities (larger programs),
2010,155812,19. Master's M: Master's Colleges and Universities (medium programs),
2010,120184,19. Master's M: Master's Colleges and Universities (medium programs),
2010,144883,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,179894,18. Master's L: Master's Colleges and Universities (larger programs),
2010,199412,19. Master's M: Master's Colleges and Universities (medium programs),
2010,105589,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,145372,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,213996,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,197993,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,238980,18. Master's L: Master's Colleges and Universities (larger programs),
2010,230959,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,110316,17. DRU: Doctoral/Research Universities,
2010,444990,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,170806,19. Master's M: Master's Colleges and Universities (medium programs),
2010,177542,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,117751,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,236896,19. Master's M: Master's Colleges and Universities (medium programs),
2010,178721,19. Master's M: Master's Colleges and Universities (medium programs),
2010,195030,15. RU/VH: Research Universities (very high research activity),
2010,146612,18. Master's L: Master's Colleges and Universities (larger programs),
2010,219204,20. Master's S: Master's Colleges and Universities (smaller programs),
