State,fy,state_abbrev,fips,lnnetut,lnstateap,lnfte,lnperinc
ARIZONA,1980,AZ,4,18.015715,19.261385,11.69648,10.18407
ARIZONA,1981,AZ,4,18.198786,19.406124,11.710423,10.317152
ARIZONA,1982,AZ,4,18.288292,19.543661,11.718003,10.379628
ARIZONA,1983,AZ,4,18.352402,19.464836,11.736893,10.475964
ARIZONA,1984,AZ,4,18.49486,19.608524,11.709085,10.598034
ARIZONA,1985,AZ,4,18.618711,19.684242,11.677261,10.704816
ARIZONA,1986,AZ,4,18.718561,19.832886,11.683596,10.794235
ARIZONA,1987,AZ,4,18.874935,19.881851,11.730775,10.868911
ARIZONA,1988,AZ,4,18.971111,19.969732,11.77482,10.945847
ARIZONA,1989,AZ,4,19.105795,20.06278,11.848454,11.01638
ARIZONA,1990,AZ,4,19.235603,20.089142,11.909922,11.063838
ARIZONA,1991,AZ,4,19.355597,20.155518,11.950302,11.115056
ARIZONA,1992,AZ,4,19.400885,20.157808,11.976911,11.180135
ARIZONA,1993,AZ,4,19.434824,20.173527,11.976464,11.252093
ARIZONA,1994,AZ,4,19.541054,20.180605,11.97588,11.342659
ARIZONA,1995,AZ,4,19.593163,20.25518,11.987649,11.429424
ARIZONA,1996,AZ,4,19.55691,20.304564,12.009273,11.510001
ARIZONA,1997,AZ,4,19.709913,20.357983,12.013276,11.590099
ARIZONA,1998,AZ,4,19.763546,20.419455,12.049009,11.678931
ARIZONA,1999,AZ,4,19.813585,20.494732,12.081914,11.733297
ARIZONA,2000,AZ,4,19.871807,20.582222,12.104422,11.8159
ARIZONA,2001,AZ,4,20.004322,20.616337,12.129893,11.858959
ARIZONA,2002,AZ,4,20.040842,20.658821,12.166193,11.894814
ARIZONA,2003,AZ,4,20.097233,20.634815,12.233459,11.952309
ARIZONA,2004,AZ,4,20.278137,20.642252,12.268953,12.041428
ARIZONA,2005,AZ,4,20.388376,20.710552,12.293222,12.144926
ARIZONA,2006,AZ,4,20.497828,20.79393,12.333951,12.250697
ARIZONA,2007,AZ,4,20.600628,20.902876,12.343911,12.304723
ARIZONA,2008,AZ,4,20.675343,21.005362,12.359887,12.316478
ARIZONA,2009,AZ,4,20.801502,20.992014,12.411785,12.264224
ARIZONA,2010,AZ,4,20.928522,20.872122,12.468256,12.280828
ARIZONA,2011,AZ,4,21.026594,20.820585,12.524784,12.329904
ARIZONA,2012,AZ,4,21.140898,20.548306,12.525392,12.375165
ARIZONA,2013,AZ,4,21.208626,20.571156,12.508559,12.400224
ARIZONA,2014,AZ,4,21.288521,20.615211,12.506647,12.458426
ARIZONA,2015,AZ,4,21.4014,20.658716,12.522539,12.510365
ARIZONA,2016,AZ,4,21.498095,20.527548,12.539824,12.551356
ARIZONA,2017,AZ,4,21.568588,20.572893,12.564918,12.610247
ARIZONA,2018,AZ,4,21.597326,20.589886,12.580446,12.669533
ARKANSAS,1980,AR,5,17.367998,18.867289,10.880497,9.7635355
ARKANSAS,1981,AR,5,17.521738,18.919636,10.917358,9.888526
ARKANSAS,1982,AR,5,17.646324,18.97514,10.931016,9.9379854
ARKANSAS,1983,AR,5,17.65711,19.043941,10.931946,9.9958391
ARKANSAS,1984,AR,5,17.713434,19.083368,10.930084,10.104712
ARKANSAS,1985,AR,5,17.855047,19.324493,10.91046,10.165159
ARKANSAS,1986,AR,5,17.84798,19.387665,10.907606,10.214788
ARKANSAS,1987,AR,5,17.904842,19.389944,10.925326,10.255376
ARKANSAS,1988,AR,5,18.088001,19.452797,10.934107,10.325679
ARKANSAS,1989,AR,5,18.214886,19.546583,10.978251,10.395772
ARKANSAS,1990,AR,5,18.420681,19.580702,11.026581,10.447496
ARKANSAS,1991,AR,5,18.511435,19.618837,11.080772,10.503943
ARKANSAS,1992,AR,5,18.623621,19.755945,11.188137,10.589459
ARKANSAS,1993,AR,5,18.722265,19.823095,11.215597,10.637009
ARKANSAS,1994,AR,5,18.814747,19.837748,11.23153,10.698492
ARKANSAS,1995,AR,5,18.84856,19.866407,11.21255,10.761407
ARKANSAS,1996,AR,5,18.889433,19.94347,11.240565,10.820738
ARKANSAS,1997,AR,5,18.957758,19.993454,11.225496,10.868721
ARKANSAS,1998,AR,5,19.060427,20.049921,11.276443,10.928382
